Genere	Title	Subgenre	Premiere_Year	Status	Seasons	Episodes	IMDB_Rating
Drama	The Get Down	Musical drama	2016	Ended	1	11	84
Drama	The Crown	Historical drama	2016	Renewed	1	10	88
Drama	The OA	Mystery	2016	Renewed	1	8	79
Drama	Gilmore Girls: A Year in the Life	Family drama	2016	NA	1	4	80
Drama	Black Mirror (season 3)	Science fictionanthology series	2016	Renewed	1	6	89
Drama	A Series of Unfortunate Events	Black-comedy mystery	2017	Renewed	1	8	80
Drama	13 Reasons Why	Teen drama/mystery	2017	Renewed	1	13	86
Drama	The Last Kingdom (season 2) (co-production with BBC Two)	Period drama	2017	Pending	1	8	83
Family Animation	Ever After High	Animation	2013	Pending	4	16	81
Family Animation	Turbo FAST	Animation	2013	Ended	3	52	71
Family Animation	VeggieTales in the House	Animation	2014	Ended	4	52	50
Family Animation	All Hail King Julien	Animation	2014	Ended	4	52	75
Family Animation	The Adventures of Puss in Boots	Animation	2015	Pending	4	52	69
Family Animation	Dinotrux	Animation	2015	Pending	4	46	76
Family Animation	The Mr. Peabody & Sherman Show	Animation	2015	Renewed	4	52	61
Family Animation	Popples	Animation	2015	Ended	3	26	66
Family Animation	Care Bears & Cousins	Animation	2015	Ended	2	12	74
Family Animation	Dawn of the Croods	Animation	2015	Pending	3	39	61
Family Animation	DreamWorks Dragons (seasons 3, 4, 5 and 6)	Animation	2015	Pending	4	52	85
Family Animation	Lego Bionicle: The Journey to One	Animation	2016	Ended	2	5	71
Family Animation	Lego Friends: The Power of Friendship	Animation	2016	Ended	2	4	65
Family Animation	Kong: King of the Apes	Animation	2016	Renewed	1	13	64
Family Animation	Voltron: Legendary Defender	Animation	2016	Renewed	2	24	84
Family Animation	Justin Time GO!	Animation	2016	Pending	1	13	73
Family Animation	Word Party	Animation	2016	Pending	2	26	77
Family Animation	Home: Adventures with Tip & Oh	Animation	2016	Pending	2	26	64
Family Animation	Ask the StoryBots	Animation	2016	Pending	1	6	83
Family Animation	Kulipari: An Army of Frogs	Animation	2016	Renewed	1	13	79
Family Animation	StoryBots Super Songs	Animation	2016	Pending	1	5	96
Family Animation	Skylanders Academy	Animation	2016	Renewed	1	12	71
Family Animation	World of Winx	Animation	2016	Ongoing	1	13	85
Family Animation	Luna Petunia	Animation	2016	Pending	1	11	76
Family Animation	Trollhunters	Animation	2016	Renewed	1	26	86
Family Animation	Tarzan and Jane	Animation	2017	Pending	1	8	59
Family Animation	We're Lalaloopsy	Animation	2017	Pending	1	13	0
Family Animation	VeggieTales in the City	Animation	2017	Pending	1	13	72
Family Animation	Legend Quest	Animation	2017	Pending	1	13	41
Family Animation	Buddy Thunderstruck	Animation	2017	Pending	1	12	83
Family Animation	Spirit Riding Free	Animation	2017	Pending	1	6	61
Family Animation	All Hail King Julien: Exiled	Animation	2017	Pending	1	13	92
Family Live Action	Richie Rich	Sitcom	2015	Ended	2	21	41
Family Live Action	Project Mc2	Comedy/educational	2015	Renewed	3	15	0
Family Live Action	Julie's Greenroom	Educational	2017	Pending	1	13	89
Foreign Language	Club de Cuervos	Comedy-drama	2015	Renewed	2	23	81
Foreign Language	Marseille	Political drama	2016	Renewed	1	8	69
Foreign Language	Hibana (Spark)	Drama	2016	Ended	1	10	81
Foreign Language	Midnight Diner: Tokyo Stories	Drama	2016	Pending	1	10	84
Foreign Language	0.03	Science fiction	2016	Renewed	1	8	76
Foreign Language	Samurai Gourmet	Drama	2017	Pending	1	12	89
Foreign Language	Ingobernable	Political drama	2017	Renewed	1	15	73
Foreign Language	Las Chicas del Cable (Cable Girls)	Period drama	2017	Renewed	1	8	76
Marvel	Marvel's Daredevil	Crime drama/legal drama	2015	Renewed	2	26	87
Marvel	Marvel's Jessica Jones	Neo-noir/psychological thriller	2015	Renewed	1	13	82
Marvel	Marvel's Luke Cage	Neo-blaxploitation	2016	Renewed	1	13	77
Marvel	Marvel's Iron Fist	Martial arts/mystery fiction	2017	Pending	1	13	72
Reality	Chasing Cameron	Celebrity	2016	Pending	1	10	40
Reality	Ultimate Beastmaster[a]	Competition	2017	Renewed	1	10	73
Talk Show	Chelsea	Talk Show	2016	Ongoing	1	90	67
Talk Show	Bill Nye Saves the World	Talk Show	2017	Pending	1	13	33
