Media	Year	Market Share
Download Single	1981	0.00
Download Single	1982	0.00
Download Single	1983	0.00
Download Single	1984	0.00
Download Single	1985	0.00
Download Single	1986	0.00
Download Single	1987	0.00
Download Single	1988	0.00
Download Single	1989	0.00
Download Single	1990	0.00
Download Single	1991	0.00
Download Single	1992	0.00
Download Single	1993	0.00
Download Single	1994	0.00
Download Single	1995	0.00
Download Single	1996	0.00
Download Single	1997	0.00
Download Single	1998	0.00
Download Single	1999	0.00
Download Single	2000	0.00
Download Single	2001	0.00
Download Single	2002	0.00
Download Single	2003	0.00
Download Single	2004	1.10
Download Single	2005	3.10
Download Single	2006	5.10
Download Single	2007	7.80
Download Single	2008	12.50
Download Single	2009	16.90
Download Single	2010	21.00
DVD Audio	1980	0.00
DVD Audio	1981	0.00
DVD Audio	1982	0.00
DVD Audio	1983	0.00
DVD Audio	1984	0.00
DVD Audio	1985	0.00
DVD Audio	1986	0.00
DVD Audio	1987	0.00
DVD Audio	1988	0.00
DVD Audio	1989	0.00
DVD Audio	1990	0.00
DVD Audio	1991	0.00
DVD Audio	1992	0.00
DVD Audio	1993	0.00
DVD Audio	1994	0.00
DVD Audio	1995	0.00
DVD Audio	1996	0.00
DVD Audio	1997	0.00
DVD Audio	1998	0.00
DVD Audio	1999	0.00
DVD Audio	2000	0.00
DVD Audio	2001	0.00
DVD Audio	2002	0.10
DVD Audio	2003	0.10
DVD Audio	2004	0.10
DVD Audio	2005	0.10
DVD Audio	2006	0.00
DVD Audio	2007	0.00
DVD Audio	2008	0.00
DVD Audio	2009	0.00
DVD Audio	2010	0.00
Kiosk	1980	0.00
Kiosk	1981	0.00
Kiosk	1982	0.00
Kiosk	1983	0.00
Kiosk	1984	0.00
Kiosk	1985	0.00
Kiosk	1986	0.00
Kiosk	1987	0.00
Kiosk	1988	0.00
Kiosk	1989	0.00
Kiosk	1990	0.00
Kiosk	1991	0.00
Kiosk	1992	0.00
Kiosk	1993	0.00
Kiosk	1994	0.00
Kiosk	1995	0.00
Kiosk	1996	0.00
Kiosk	1997	0.00
Kiosk	1998	0.00
Kiosk	1999	0.00
Kiosk	2000	0.00
Kiosk	2001	0.00
Kiosk	2002	0.00
Kiosk	2003	0.00
Kiosk	2004	0.00
Kiosk	2005	0.00
Kiosk	2006	0.00
Kiosk	2007	0.00
Kiosk	2008	0.00
Kiosk	2009	0.10
Kiosk	2010	0.10
LP/EP	1980	59.80
LP/EP	1981	58.90
LP/EP	1982	53.10
LP/EP	1983	44.60
LP/EP	1984	35.70
LP/EP	1985	29.40
LP/EP	1986	21.20
LP/EP	1987	14.30
LP/EP	1988	8.50
LP/EP	1989	3.30
LP/EP	1990	1.10
LP/EP	1991	0.40
LP/EP	1992	0.10
LP/EP	1993	0.10
LP/EP	1994	0.10
LP/EP	1995	0.20
LP/EP	1996	0.30
LP/EP	1997	0.30
LP/EP	1998	0.20
LP/EP	1999	0.20
LP/EP	2000	0.20
LP/EP	2001	0.20
LP/EP	2002	0.20
LP/EP	2003	0.20
LP/EP	2004	0.20
LP/EP	2005	0.10
LP/EP	2006	0.10
LP/EP	2007	0.20
LP/EP	2008	0.60
LP/EP	2009	0.80
LP/EP	2010	1.30
Mobile	1980	0.00
Mobile	1981	0.00
Mobile	1982	0.00
Mobile	1983	0.00
Mobile	1984	0.00
Mobile	1985	0.00
Mobile	1986	0.00
Mobile	1987	0.00
Mobile	1988	0.00
Mobile	1989	0.00
Mobile	1990	0.00
Mobile	1991	0.00
Mobile	1992	0.00
Mobile	1993	0.00
Mobile	1994	0.00
Mobile	1995	0.00
Mobile	1996	0.00
Mobile	1997	0.00
Mobile	1998	0.00
Mobile	1999	0.00
Mobile	2000	0.00
Mobile	2001	0.00
Mobile	2002	0.00
Mobile	2003	0.00
Mobile	2004	0.00
Mobile	2005	3.40
Mobile	2006	6.60
Mobile	2007	9.90
Mobile	2008	11.10
Mobile	2009	9.50
Mobile	2010	7.70
Music video	1980	0.00
Music video	1981	0.00
Music video	1982	0.00
Music video	1983	0.00
Music video	1984	0.00
Music video	1985	0.00
Music video	1986	0.00
Music video	1987	0.00
Music video	1988	0.00
Music video	1989	1.80
Music video	1990	2.30
Music video	1991	1.50
Music video	1992	1.70
Music video	1993	2.10
Music video	1994	1.90
Music video	1995	1.80
Music video	1996	1.90
Music video	1997	2.60
Music video	1998	2.60
Music video	1999	2.60
Music video	2000	2.00
Music video	2001	2.40
Music video	2002	2.30
Music video	2003	3.40
Music video	2004	4.90
Music video	2005	4.90
Music video	2006	3.80
Music video	2007	4.60
Music video	2008	2.50
Music video	2009	2.80
Music video	2010	2.60
SACD	1980	0.00
SACD	1981	0.00
SACD	1982	0.00
SACD	1983	0.00
SACD	1984	0.00
SACD	1985	0.00
SACD	1986	0.00
SACD	1987	0.00
SACD	1988	0.00
SACD	1989	0.00
SACD	1990	0.00
SACD	1991	0.00
SACD	1992	0.00
SACD	1993	0.00
SACD	1994	0.00
SACD	1995	0.00
SACD	1996	0.00
SACD	1997	0.00
SACD	1998	0.00
SACD	1999	0.00
SACD	2000	0.00
SACD	2001	0.00
SACD	2002	0.00
SACD	2003	0.20
SACD	2004	0.10
SACD	2005	0.10
SACD	2006	0.00
SACD	2007	0.00
SACD	2008	0.00
SACD	2009	0.00
SACD	2010	0.00
Subscription	1980	0.00
Subscription	1981	0.00
Subscription	1982	0.00
Subscription	1983	0.00
Subscription	1984	0.00
Subscription	1985	0.00
Subscription	1986	0.00
Subscription	1987	0.00
Subscription	1988	0.00
Subscription	1989	0.00
Subscription	1990	0.00
Subscription	1991	0.00
Subscription	1992	0.00
Subscription	1993	0.00
Subscription	1994	0.00
Subscription	1995	0.00
Subscription	1996	0.00
Subscription	1997	0.00
Subscription	1998	0.00
Subscription	1999	0.00
Subscription	2000	0.00
Subscription	2001	0.00
Subscription	2002	0.00
Subscription	2003	0.00
Subscription	2004	0.00
Subscription	2005	1.20
Subscription	2006	1.80
Subscription	2007	2.20
Subscription	2008	2.50
Subscription	2009	2.80
Subscription	2010	2.90
vinyl single	1980	6.80
vinyl single	1981	6.50
vinyl single	1982	7.70
vinyl single	1983	7.10
vinyl single	1984	6.90
vinyl single	1985	6.40
vinyl single	1986	4.90
vinyl single	1987	3.70
vinyl single	1988	2.90
vinyl single	1989	1.80
vinyl single	1990	1.30
vinyl single	1991	0.80
vinyl single	1992	0.70
vinyl single	1993	0.50
vinyl single	1994	0.40
vinyl single	1995	0.40
vinyl single	1996	0.40
vinyl single	1997	0.30
vinyl single	1998	0.20
vinyl single	1999	0.20
vinyl single	2000	0.20
vinyl single	2001	0.20
vinyl single	2002	0.20
vinyl single	2003	0.20
vinyl single	2004	0.20
vinyl single	2005	0.10
vinyl single	2006	0.10
vinyl single	2007	0.00
vinyl single	2008	0.00
vinyl single	2009	0.00
vinyl single	2010	0.00
