name,brand,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
Buick Century Luxus (Wagon),Buick,13,8,350,150,4699,14.5,1974
Buick Century Special,Buick,20.6,6,231,105,3380,15.8,1978
Buick Century,Buick,17,6,231,110,3907,21,1975
Buick Century,Buick,22.4,6,231,110,3415,15.8,1981
Buick Electra 225 Custom,Buick,12,8,455,225,4951,11,1973
Buick Estate Wagon (Wagon),Buick,14,8,455,225,3086,10,1970
Buick Estate Wagon (Wagon),Buick,16.9,8,350,155,4360,14.9,1979
Buick Lesabre Custom,Buick,13,8,350,155,4502,13.5,1972
Buick Opel Isuzu Deluxe,Buick,30,4,111,80,2155,14.8,1977
Buick Regal Sport Coupe (Turbo),Buick,17.7,6,231,165,3445,13.4,1978
Buick Skyhawk,Buick,21,6,231,110,3039,15,1975
Buick Skylark 320,Buick,15,8,350,165,3693,11.5,1970
Buick Skylark Limited,Buick,28.4,4,151,90,2670,16,1979
Buick Skylark,Buick,20.5,6,231,105,3425,16.9,1977
Buick Skylark,Buick,26.6,4,151,84,2635,16.4,1981
Cadillac Eldorado,Cadillac,23,8,350,125,3900,17.4,1979
Cadillac Seville,Cadillac,16.5,8,350,180,4380,12.1,1976
Chevroelt Chevelle Malibu,Chevrolet,16,6,250,105,3897,18.5,1975
Chevrolet Bel Air,Chevrolet,15,8,350,145,4440,14,1975
Chevrolet Camaro,Chevrolet,27,4,151,90,2950,17.3,1982
Chevrolet Caprice Classic,Chevrolet,13,8,400,150,4464,12,1973
Chevrolet Caprice Classic,Chevrolet,17,8,305,130,3840,15.4,1979
Chevrolet Caprice Classic,Chevrolet,17.5,8,305,145,3880,12.5,1977
Chevrolet Cavalier 2-Door,Chevrolet,34,4,112,88,2395,18,1982
Chevrolet Cavalier Wagon,Chevrolet,27,4,112,88,2640,18.6,1982
Chevrolet Cavalier,Chevrolet,28,4,112,88,2605,19.6,1982
Chevrolet Chevelle Concours (Wagon),Chevrolet,,8,350,165,4142,11.5,1970
Chevrolet Chevelle Concours (Wagon),Chevrolet,13,8,307,130,4098,14,1972
Chevrolet Chevelle Malibu Classic,Chevrolet,16,6,250,100,3781,17,1974
Chevrolet Chevelle Malibu Classic,Chevrolet,17.5,8,305,140,4215,13,1976
Chevrolet Chevelle Malibu,Chevrolet,17,6,250,100,3329,15.5,1971
Chevrolet Chevelle Malibu,Chevrolet,18,8,307,130,3504,12,1970
Chevrolet Chevette,Chevrolet,29,4,85,52,2035,22.2,1976
Chevrolet Chevette,Chevrolet,30,4,98,68,2155,16.5,1978
Chevrolet Chevette,Chevrolet,30.5,4,98,63,2051,17,1977
Chevrolet Chevette,Chevrolet,32.1,4,98,70,2120,15.5,1980
Chevrolet Citation,Chevrolet,23.5,6,173,110,2725,12.6,1981
Chevrolet Citation,Chevrolet,28,4,151,90,2678,16.5,1980
Chevrolet Citation,Chevrolet,28.8,6,173,115,2595,11.3,1979
Chevrolet Concours,Chevrolet,17.5,6,250,110,3520,16.4,1977
Chevrolet Impala,Chevrolet,11,8,400,150,4997,14,1973
Chevrolet Impala,Chevrolet,13,8,350,165,4274,12,1972
Chevrolet Impala,Chevrolet,14,8,350,165,4209,12,1971
Chevrolet Impala,Chevrolet,14,8,454,220,4354,9,1970
Chevrolet Malibu Classic (Wagon),Chevrolet,19.2,8,267,125,3605,15,1979
Chevrolet Malibu,Chevrolet,13,8,350,145,3988,13,1973
Chevrolet Malibu,Chevrolet,20.5,6,200,95,3155,18.2,1978
Chevrolet Monte Carlo Landau,Chevrolet,15.5,8,350,170,4165,11.4,1977
Chevrolet Monte Carlo Landau,Chevrolet,19.2,8,305,145,3425,13.2,1978
Chevrolet Monte Carlo S,Chevrolet,15,8,350,145,4082,13,1973
Chevrolet Monte Carlo,Chevrolet,15,8,400,150,3761,9.5,1970
Chevrolet Monza 2+2,Chevrolet,20,8,262,110,3221,13.5,1975
Chevrolet Nova Custom,Chevrolet,16,6,250,100,3278,18,1973
Chevrolet Nova,Chevrolet,15,6,250,100,3336,17,1974
Chevrolet Nova,Chevrolet,18,6,250,105,3459,16,1975
Chevrolet Nova,Chevrolet,22,6,250,105,3353,14.5,1976
Chevrolet Vega (Wagon),Chevrolet,22,4,140,72,2408,19,1971
Chevrolet Vega 2300,Chevrolet,28,4,140,90,2264,15.5,1971
Chevrolet Vega,Chevrolet,20,4,140,90,2408,19.5,1972
Chevrolet Vega,Chevrolet,21,4,140,72,2401,19.5,1973
Chevrolet Vega,Chevrolet,25,4,140,75,2542,17,1974
Chevrolet Woody,Chevrolet,24.5,4,98,60,2164,22.1,1976
Chevy C10,Chevy,13,8,350,145,4055,12,1976
Chevy C20,Chevy,10,8,307,200,4376,15,1970
Chevy S-10,Chevy,31,4,119,82,2720,19.4,1982
Chrysler Cordoba,Chrysler,15.5,8,400,190,4325,12.2,1977
Chrysler Lebaron Medallion,Chrysler,26,4,156,92,2585,14.5,1982
Chrysler Lebaron Salon,Chrysler,17.6,6,225,85,3465,16.6,1981
Chrysler Lebaron Town & Country (Wagon),Chrysler,18.5,8,360,150,3940,13,1979
Chrysler New Yorker Brougham,Chrysler,13,8,440,215,4735,11,1973
Chrysler Newport Royal,Chrysler,13,8,400,190,4422,12.5,1972
Citroen DS-21 Pallas,Citroen,,4,133,115,3090,17.5,1970
Datsun 1200,Datsun,35,4,72,69,1613,18,1971
Datsun 200SX,Datsun,23.9,4,119,97,2405,14.9,1978
Datsun 200SX,Datsun,32.9,4,119,100,2615,14.8,1981
Datsun 210,Datsun,31.8,4,85,65,2020,19.2,1979
Datsun 210,Datsun,37,4,85,65,1975,19.4,1981
Datsun 210,Datsun,40.8,4,85,65,2110,19.2,1980
Datsun 280ZX,Datsun,32.7,6,168,132,2910,11.4,1980
Datsun 310 GX,Datsun,38,4,91,67,1995,16.2,1982
Datsun 310,Datsun,37.2,4,86,65,2019,16.4,1980
Datsun 510 (Wagon),Datsun,28,4,97,92,2288,17,1972
Datsun 510 Hatchback,Datsun,37,4,119,92,2434,15,1980
Datsun 510,Datsun,27.2,4,119,97,2300,14.7,1978
Datsun 610,Datsun,22,4,108,94,2379,16.5,1973
Datsun 710,Datsun,24,4,119,97,2545,17,1975
Datsun 710,Datsun,32,4,83,61,2003,19,1974
Datsun 810 Maxima,Datsun,24.2,6,146,120,2930,13.8,1981
Datsun 810,Datsun,22,6,146,97,2815,14.5,1977
Datsun B-210,Datsun,32,4,85,70,1990,17,1976
Datsun B210 GX,Datsun,39.4,4,85,70,2070,18.6,1978
Datsun B210,Datsun,31,4,79,67,1950,19,1974
Datsun F-10 Hatchback,Datsun,33.5,4,85,70,1945,16.8,1977
Datsun PL510,Datsun,27,4,97,88,2130,14.5,1970
Datsun PL510,Datsun,27,4,97,88,2130,14.5,1971
Dodge Aries SE,Dodge,29,4,135,84,2525,16,1982
Dodge Aries Wagon (Wagon),Dodge,25.8,4,156,92,2620,14.4,1981
Dodge Aspen 6,Dodge,20.6,6,225,110,3360,16.6,1979
Dodge Aspen SE,Dodge,20,6,225,100,3651,17.7,1976
Dodge Aspen,Dodge,18.6,6,225,110,3620,18.7,1978
Dodge Aspen,Dodge,19.1,6,225,90,3381,18.7,1980
Dodge Challenger SE,Dodge,15,8,383,170,3563,10,1970
Dodge Charger 2.2,Dodge,36,4,135,84,2370,13,1982
Dodge Colt (Wagon),Dodge,28,4,98,80,2164,15,1972
Dodge Colt Hardtop,Dodge,25,4,97.5,80,2126,17,1972
Dodge Colt Hatchback Custom,Dodge,35.7,4,98,80,1915,14.4,1979
Dodge Colt M/M,Dodge,33.5,4,98,83,2075,15.9,1977
Dodge Colt,Dodge,26,4,98,79,2255,17.7,1976
Dodge Colt,Dodge,27.9,4,156,105,2800,14.4,1980
Dodge Colt,Dodge,28,4,90,75,2125,14.5,1974
Dodge Coronet Brougham,Dodge,16,8,318,150,4190,13,1976
Dodge Coronet Custom (Wagon),Dodge,14,8,318,150,4457,13.5,1974
Dodge Coronet Custom,Dodge,15,8,318,150,3777,12.5,1973
Dodge D100,Dodge,13,8,318,150,3755,14,1976
Dodge D200,Dodge,11,8,318,210,4382,13.5,1970
Dodge Dart Custom,Dodge,15,8,318,150,3399,11,1973
Dodge Diplomat,Dodge,19.4,8,318,140,3735,13.2,1978
Dodge Magnum XE,Dodge,17.5,8,318,140,4080,13.7,1978
Dodge Monaco (Wagon),Dodge,12,8,383,180,4955,11.5,1971
Dodge Monaco Brougham,Dodge,15.5,8,318,145,4140,13.7,1977
Dodge Omni,Dodge,30.9,4,105,75,2230,14.5,1978
Dodge Rampage,Dodge,32,4,135,84,2295,11.6,1982
Dodge St. Regis,Dodge,18.2,8,318,135,3830,15.2,1979
Fiat 124 Sport Coupe,Fiat,26,4,98,90,2265,15.5,1973
Fiat 124 TC,Fiat,26,4,116,75,2246,14,1974
Fiat 124B,Fiat,30,4,88,76,2065,14.5,1971
Fiat 128,Fiat,24,4,90,75,2108,15.5,1974
Fiat 128,Fiat,29,4,68,49,1867,19.5,1973
Fiat 131,Fiat,28,4,107,86,2464,15.5,1976
Fiat Strada Custom,Fiat,37.3,4,91,69,2130,14.7,1979
Fiat X1.9,Fiat,31,4,79,67,2000,16,1974
Ford Capri II,Ford,25,4,140,92,2572,14.9,1976
Ford Country Squire (Wagon),Ford,13,8,400,170,4746,12,1971
Ford Country Squire (Wagon),Ford,15.5,8,351,142,4054,14.3,1979
Ford Country,Ford,12,8,400,167,4906,12.5,1973
Ford Escort 2H,Ford,29.9,4,98,65,2380,20.7,1981
Ford Escort 4W,Ford,34.4,4,98,65,2045,16.2,1981
Ford F108,Ford,13,8,302,130,3870,15,1976
Ford F250,Ford,10,8,360,215,4615,14,1970
Ford Fairmont (Auto),Ford,20.2,6,200,85,2965,15.8,1978
Ford Fairmont (Man),Ford,25.1,4,140,88,2720,15.4,1978
Ford Fairmont 4,Ford,22.3,4,140,88,2890,17.3,1979
Ford Fairmont Futura,Ford,24,4,140,92,2865,16.4,1982
Ford Fairmont,Ford,26.4,4,140,88,2870,18.1,1980
Ford Fiesta,Ford,36.1,4,98,66,1800,14.4,1978
Ford Futura,Ford,18.1,8,302,139,3205,11.2,1978
Ford Galaxie 500,Ford,14,8,351,153,4129,13,1972
Ford Galaxie 500,Ford,14,8,351,153,4154,13.5,1971
Ford Galaxie 500,Ford,15,8,429,198,4341,10,1970
Ford Gran Torino (Wagon),Ford,13,8,302,140,4294,16,1972
Ford Gran Torino (Wagon),Ford,14,8,302,140,4638,16,1974
Ford Gran Torino,Ford,14,8,302,137,4042,14.5,1973
Ford Gran Torino,Ford,14.5,8,351,152,4215,12.8,1976
Ford Gran Torino,Ford,16,8,302,140,4141,14,1974
Ford Granada Ghia,Ford,18,6,250,78,3574,21,1976
Ford Granada GL,Ford,20.2,6,200,88,3060,17.1,1981
Ford Granada L,Ford,22,6,232,112,2835,14.7,1982
Ford Granada,Ford,18.5,6,250,98,3525,19,1977
Ford LTD Landau,Ford,17.6,8,302,129,3725,13.4,1979
Ford LTD,Ford,13,8,351,158,4363,13,1973
Ford LTD,Ford,14,8,351,148,4657,13.5,1975
Ford Maverick,Ford,15,6,250,72,3158,19.5,1975
Ford Maverick,Ford,18,6,250,88,3021,16.5,1973
Ford Maverick,Ford,21,6,200,,2875,17,1974
Ford Maverick,Ford,21,6,200,85,2587,16,1970
Ford Maverick,Ford,24,6,200,81,3012,17.6,1976
Ford Mustang Boss 302,Ford,,8,302,140,3353,8,1970
Ford Mustang Cobra,Ford,23.6,4,140,,2905,14.3,1980
Ford Mustang GL,Ford,27,4,140,86,2790,15.6,1982
Ford Mustang II 2+2,Ford,25.5,4,140,89,2755,15.8,1977
Ford Mustang II,Ford,13,8,302,129,3169,12,1975
Ford Mustang,Ford,18,6,250,88,3139,14.5,1971
Ford Pinto (Wagon),Ford,22,4,122,86,2395,16,1972
Ford Pinto Runabout,Ford,21,4,122,86,2226,16.5,1972
Ford Pinto,Ford,18,6,171,97,2984,14.5,1975
Ford Pinto,Ford,19,4,122,85,2310,18.5,1973
Ford Pinto,Ford,23,4,140,83,2639,17,1975
Ford Pinto,Ford,25,4,98,,2046,19,1971
Ford Pinto,Ford,26,4,122,80,2451,16.5,1974
Ford Pinto,Ford,26.5,4,140,72,2565,13.6,1976
Ford Ranger,Ford,28,4,120,79,2625,18.6,1982
Ford Thunderbird,Ford,16,8,351,149,4335,14.5,1977
Ford Torino (Wagon),Ford,,8,351,153,4034,11,1970
Ford Torino 500,Ford,19,6,250,88,3302,15.5,1971
Ford Torino,Ford,17,8,302,140,3449,10.5,1970
Hi 1200D,IHC,9,8,304,193,4732,18.5,1970
Honda Accord CVCC,Honda,31.5,4,98,68,2045,18.5,1977
Honda Accord LX,Honda,29.5,4,98,68,2135,16.6,1978
Honda Accord,Honda,32.4,4,107,72,2290,17,1980
Honda Accord,Honda,36,4,107,75,2205,14.5,1982
Honda Civic (Auto),Honda,32,4,91,67,1965,15.7,1982
Honda Civic 1300,Honda,35.1,4,81,60,1760,16.1,1981
Honda Civic 1500 GL,Honda,44.6,4,91,67,1850,13.8,1980
Honda Civic CVCC,Honda,33,4,91,53,1795,17.5,1975
Honda Civic CVCC,Honda,36.1,4,91,60,1800,16.4,1978
Honda Civic,Honda,24,4,120,97,2489,15,1974
Honda Civic,Honda,33,4,91,53,1795,17.4,1976
Honda Civic,Honda,38,4,91,67,1965,15,1982
Honda Prelude,Honda,33.7,4,107,75,2210,14.4,1981
Maxda GLC Deluxe,Mazda,34.1,4,86,65,1975,15.2,1979
Maxda RX-3,Mazda,18,3,70,90,2124,13.5,1973
Mazda 626,Mazda,31.3,4,120,75,2542,17.5,1980
Mazda 626,Mazda,31.6,4,120,74,2635,18.3,1981
Mazda GLC 4,Mazda,34.1,4,91,68,1985,16,1981
Mazda GLC Custom L,Mazda,37,4,91,68,2025,18.2,1982
Mazda GLC Custom,Mazda,31,4,91,68,1970,17.6,1982
Mazda GLC Deluxe,Mazda,32.8,4,78,52,1985,19.4,1978
Mazda GLC,Mazda,46.6,4,86,65,2110,17.9,1980
Mazda RX-2 Coupe,Mazda,19,3,70,97,2330,13.5,1972
Mazda RX-4,Mazda,21.5,3,80,110,2720,13.5,1977
Mazda RX-7 Gs,Mazda,23.7,3,70,100,2420,12.5,1980
Mercedes-Benz 240D,Mercedes-Benz,30,4,146,67,3250,21.8,1980
Mercedes-Benz 280S,Mercedes-Benz,16.5,6,168,120,3820,16.7,1976
Mercedes-Benz 300D,Mercedes-Benz,25.4,5,183,77,3530,20.1,1979
Mercury Capri 2000,Mercury,23,4,122,86,2220,14,1971
Mercury Capri V6,Mercury,21,6,155,107,2472,14,1973
Mercury Cougar Brougham,Mercury,15,8,302,130,4295,14.9,1977
Mercury Grand Marquis,Mercury,16.5,8,351,138,3955,13.2,1979
Mercury Lynx L,Mercury,36,4,98,70,2125,17.3,1982
Mercury Marquis Brougham,Mercury,12,8,429,198,4952,11.5,1973
Mercury Marquis,Mercury,11,8,429,208,4633,11,1972
Mercury Monarch Ghia,Mercury,20.2,8,302,139,3570,12.8,1978
Mercury Monarch,Mercury,15,6,250,72,3432,21,1975
Mercury Zephyr 6,Mercury,19.8,6,200,85,2990,18.2,1979
Mercury Zephyr,Mercury,20.8,6,200,85,3070,16.7,1978
Nissan Stanza XE,Nissan,36,4,120,88,2160,14.5,1982
Oldsmobile Cutlass Ciera (Diesel),Oldsmobile,38,6,262,85,3015,17,1982
Oldsmobile Cutlass LS,Oldsmobile,26.6,8,350,105,3725,19,1981
Oldsmobile Cutlass Salon Brougham,Oldsmobile,19.9,8,260,110,3365,15.5,1978
Oldsmobile Cutlass Salon Brougham,Oldsmobile,23.9,8,260,90,3420,22.2,1979
Oldsmobile Cutlass Supreme,Oldsmobile,17,8,260,110,4060,19,1977
Oldsmobile Delta 88 Royale,Oldsmobile,12,8,350,160,4456,13.5,1972
Oldsmobile Omega Brougham,Oldsmobile,26.8,6,173,115,2700,12.9,1979
Oldsmobile Omega,Oldsmobile,11,8,350,180,3664,11,1973
Oldsmobile Starfire SX,Oldsmobile,23.8,4,151,85,2855,17.6,1978
Oldsmobile Vista Cruiser,Oldsmobile,12,8,350,180,4499,12.5,1973
Opel 1900,Opel,25,4,116,81,2220,16.9,1976
Opel 1900,Opel,28,4,116,90,2123,14,1971
Opel Manta,Opel,24,4,116,75,2158,15.5,1973
Opel Manta,Opel,26,4,97,78,2300,14.5,1974
Peugeot 304,Peugeot,30,4,79,70,2074,19.5,1971
Peugeot 504 (Wagon),Peugeot,21,4,120,87,2979,19.5,1972
Peugeot 504,Peugeot,19,4,120,88,3270,21.9,1976
Peugeot 504,Peugeot,23,4,120,88,2957,17,1975
Peugeot 504,Peugeot,25,4,110,87,2672,17.5,1970
Peugeot 504,Peugeot,27.2,4,141,71,3190,24.8,1979
Peugeot 505S Turbo Diesel,Peugeot,28.1,4,141,80,3230,20.4,1981
Peugeot 604SL,Peugeot,16.2,6,163,133,3410,15.8,1978
Plymouth Arrow GS,Plymouth,25.5,4,122,96,2300,15.5,1977
Plymouth Barracuda 340,Plymouth,14,8,340,160,3609,8,1970
Plymouth Champ,Plymouth,39,4,86,64,1875,16.4,1981
Plymouth Cricket,Plymouth,26,4,91,70,1955,20.5,1971
Plymouth Custom Suburb,Plymouth,13,8,360,170,4654,13,1973
Plymouth Duster,Plymouth,20,6,198,95,3102,16.5,1974
Plymouth Duster,Plymouth,22,6,198,95,2833,15.5,1970
Plymouth Duster,Plymouth,23,6,198,95,2904,16,1973
Plymouth Fury Gran Sedan,Plymouth,14,8,318,150,4237,14.5,1973
Plymouth Fury III,Plymouth,14,8,318,150,4096,13,1971
Plymouth Fury III,Plymouth,14,8,440,215,4312,8.5,1970
Plymouth Fury III,Plymouth,15,8,318,150,4135,13.5,1972
Plymouth Fury,Plymouth,18,6,225,95,3785,19,1975
Plymouth Grand Fury,Plymouth,16,8,318,150,4498,14.5,1975
Plymouth Horizon 4,Plymouth,34.7,4,105,63,2215,14.9,1981
Plymouth Horizon Miser,Plymouth,38,4,105,63,2125,14.7,1982
Plymouth Horizon TC3,Plymouth,34.5,4,105,70,2150,14.9,1979
Plymouth Horizon,Plymouth,34.2,4,105,70,2200,13.2,1979
Plymouth Reliant,Plymouth,27.2,4,135,84,2490,15.7,1981
Plymouth Reliant,Plymouth,30,4,135,84,2385,12.9,1981
Plymouth Sapporo,Plymouth,23.2,4,156,105,2745,16.7,1978
Plymouth Satellite (Wagon),Plymouth,,8,383,175,4166,10.5,1970
Plymouth Satellite Custom (Wagon),Plymouth,14,8,318,150,4077,14,1972
Plymouth Satellite Custom,Plymouth,16,6,225,105,3439,15.5,1971
Plymouth Satellite Sebring,Plymouth,18,6,225,105,3613,16.5,1974
Plymouth Satellite,Plymouth,18,8,318,150,3436,11,1970
Plymouth Valiant Custom,Plymouth,19,6,225,95,3264,16,1975
Plymouth Valiant,Plymouth,18,6,225,105,3121,16.5,1973
Plymouth Valiant,Plymouth,22,6,225,100,3233,15.4,1976
Plymouth Volare Custom,Plymouth,19,6,225,100,3630,17.7,1977
Plymouth Volare Premier V8,Plymouth,13,8,318,150,3940,13.2,1976
Plymouth Volare,Plymouth,20.5,6,225,100,3430,17.2,1978
Pontiac Astro,Pontiac,23,4,140,78,2592,18.5,1975
Pontiac Catalina Brougham,Pontiac,14,8,400,175,4464,11.5,1971
Pontiac Catalina,Pontiac,14,8,400,175,4385,12,1972
Pontiac Catalina,Pontiac,14,8,455,225,4425,10,1970
Pontiac Catalina,Pontiac,16,8,400,170,4668,11.5,1975
Pontiac Firebird,Pontiac,19,6,250,100,3282,15,1971
Pontiac Grand Prix Lj,Pontiac,16,8,400,180,4220,11.1,1977
Pontiac Grand Prix,Pontiac,16,8,400,230,4278,9.5,1973
Pontiac J2000 Se Hatchback,Pontiac,31,4,112,85,2575,16.2,1982
Pontiac Lemans V6,Pontiac,21.5,6,231,115,3245,15.4,1979
Pontiac Phoenix LJ,Pontiac,19.2,6,231,105,3535,19.2,1978
Pontiac Phoenix,Pontiac,27,4,151,90,2735,18,1982
Pontiac Phoenix,Pontiac,33.5,4,151,90,2556,13.2,1979
Pontiac Safari (Wagon),Pontiac,13,8,400,175,5140,12,1971
Pontiac Sunbird Coupe,Pontiac,24.5,4,151,88,2740,16,1977
Pontiac Ventura Sj,Pontiac,18.5,6,250,110,3645,16.2,1976
Renault 12 (Wagon),Renault,26,4,96,69,2189,18,1972
Renault 12TL,Renault,27,4,101,83,2202,15.3,1976
Renault 18I,Renault,34.5,4,100,,2320,15.8,1981
Renault 5 Gtl,Renault,36,4,79,58,1825,18.6,1977
Renault Lecar Deluxe,Renault,40.9,4,85,,1835,17.3,1980
Saab 900S,Saab,,4,121,110,2800,15.4,1981
Saab 99E,Saab,25,4,104,95,2375,17.5,1970
Saab 99GLE,Saab,21.6,4,121,115,2795,15.7,1978
Saab 99LE,Saab,24,4,121,110,2660,14,1973
Saab 99LE,Saab,25,4,121,115,2671,13.5,1975
Subaru DL,Subaru,30,4,97,67,1985,16.4,1977
Subaru DL,Subaru,33.8,4,97,67,2145,18,1980
Subaru,Subaru,26,4,108,93,2391,15.5,1974
Subaru,Subaru,32.3,4,97,67,2065,17.8,1981
Toyota Carina,Toyota,20,4,97,88,2279,19,1973
Toyota Celica GT Liftback,Toyota,21.1,4,134,95,2515,14.8,1978
Toyota Celica GT,Toyota,32,4,144,96,2665,13.9,1982
Toyota Corolla 1200,Toyota,31,4,71,65,1773,19,1971
Toyota Corolla 1200,Toyota,32,4,71,65,1836,21,1974
Toyota Corolla 1600 (Wagon),Toyota,27,4,97,88,2100,16.5,1972
Toyota Corolla Liftback,Toyota,26,4,97,75,2265,18.2,1977
Toyota Corolla Tercel,Toyota,38.1,4,89,60,1968,18.8,1980
Toyota Corolla,Toyota,28,4,97,75,2155,16.4,1976
Toyota Corolla,Toyota,29,4,97,75,2171,16,1975
Toyota Corolla,Toyota,32.2,4,108,75,2265,15.2,1980
Toyota Corolla,Toyota,32.4,4,108,75,2350,16.8,1981
Toyota Corolla,Toyota,34,4,108,70,2245,16.9,1982
Toyota Corona Hardtop,Toyota,24,4,113,95,2278,15.5,1972
Toyota Corona Liftback,Toyota,29.8,4,134,90,2711,15.5,1980
Toyota Corona Mark II,Toyota,24,4,113,95,2372,15,1970
Toyota Corona,Toyota,24,4,134,96,2702,13.5,1975
Toyota Corona,Toyota,25,4,113,95,2228,14,1971
Toyota Corona,Toyota,27.5,4,134,95,2560,14.2,1978
Toyota Corona,Toyota,31,4,76,52,1649,16.5,1974
Toyota Cressida,Toyota,25.4,6,168,116,2900,12.6,1981
Toyota Mark II,Toyota,19,6,156,108,2930,15.5,1976
Toyota Mark II,Toyota,20,6,156,122,2807,13.5,1973
Toyota Starlet,Toyota,39.1,4,79,58,1755,16.9,1981
Toyota Tercel,Toyota,37.7,4,89,62,2050,17.3,1981
Toyouta Corona Mark II (Wagon),Toyota,23,4,120,97,2506,14.5,1972
Triumph TR7 Coupe,Triumph,35,4,122,88,2500,15.1,1980
Vokswagen Rabbit,Volkswagen,29.8,4,89,62,1845,15.3,1980
Volkswagen 1131 Deluxe Sedan,Volkswagen,26,4,97,46,1835,20.5,1970
Volkswagen 411 (Wagon),Volkswagen,22,4,121,76,2511,18,1972
Volkswagen Dasher (Diesel),Volkswagen,43.4,4,90,48,2335,23.7,1980
Volkswagen Dasher,Volkswagen,25,4,90,71,2223,16.5,1975
Volkswagen Dasher,Volkswagen,26,4,79,67,1963,15.5,1974
Volkswagen Dasher,Volkswagen,30.5,4,97,78,2190,14.1,1977
Volkswagen Jetta,Volkswagen,33,4,105,74,2190,14.2,1981
Volkswagen Model 111,Volkswagen,27,4,97,60,1834,19,1971
Volkswagen Pickup,Volkswagen,44,4,97,52,2130,24.6,1982
Volkswagen Rabbit C (Diesel),Volkswagen,44.3,4,90,48,2085,21.7,1980
Volkswagen Rabbit Custom Diesel,Volkswagen,43.1,4,90,48,1985,21.5,1978
Volkswagen Rabbit Custom,Volkswagen,29,4,97,78,1940,14.5,1977
Volkswagen Rabbit Custom,Volkswagen,31.9,4,89,71,1925,14,1979
Volkswagen Rabbit L,Volkswagen,36,4,105,74,1980,15.3,1982
Volkswagen Rabbit,Volkswagen,29,4,90,70,1937,14,1975
Volkswagen Rabbit,Volkswagen,29,4,90,70,1937,14.2,1976
Volkswagen Rabbit,Volkswagen,29.5,4,97,71,1825,12.2,1976
Volkswagen Rabbit,Volkswagen,41.5,4,98,76,2144,14.7,1980
Volkswagen Scirocco,Volkswagen,31.5,4,89,71,1990,14.9,1978
Volkswagen Super Beetle 117,Volkswagen,,4,97,48,1978,20,1971
Volkswagen Super Beetle,Volkswagen,26,4,97,46,1950,21,1973
Volkswagen Type 3,Volkswagen,23,4,97,54,2254,23.5,1972
Volvo 144EA,Volvo,19,4,121,112,2868,15.5,1973
Volvo 145E (Wagon),Volvo,18,4,121,112,2933,14.5,1972
Volvo 244DL,Volvo,22,4,121,98,2945,14.5,1975
Volvo 245,Volvo,20,4,130,102,3150,15.7,1976
Volvo 264GL,Volvo,17,6,163,125,3140,13.6,1978
Volvo Diesel,Volvo,30.7,6,145,76,3160,19.6,1981
