Class	Survival	Name	Gender	Age group	Age	Siblings / Spouse aboard	Parents / Children aboard	Ticket number	Fare	Fare group	Cabin	Port of Embarkation	Boat	Destination
1	yes	Fleming, Miss. Margaret	female	unknown		0	0	17421	110.8833	110		Cherbourg	4	
1	yes	Flynn, Mr. John Irwin ("Irving")	male	30 - 39	36	0	0	PC 17474	26.3875	30	E25	Southampton	5	Brooklyn, NY
1	no	Foreman, Mr. Benjamin Laventall	male	30 - 39	30	0	0	113051	27.7500	30	C111	Cherbourg		New York, NY
1	yes	Fortune, Miss. Alice Elizabeth	female	20 - 29	24	3	2	19950	263.0000	260	C23 C25 C27	Southampton	10	Winnipeg, MB
1	yes	Fortune, Miss. Ethel Flora	female	20 - 29	28	3	2	19950	263.0000	260	C23 C25 C27	Southampton	10	Winnipeg, MB
1	yes	Fortune, Miss. Mabel Helen	female	20 - 29	23	3	2	19950	263.0000	260	C23 C25 C27	Southampton	10	Winnipeg, MB
1	no	Fortune, Mr. Charles Alexander	male	10 - 19	19	3	2	19950	263.0000	260	C23 C25 C27	Southampton		Winnipeg, MB
1	no	Fortune, Mr. Mark	male	60 - 69	64	1	4	19950	263.0000	260	C23 C25 C27	Southampton		Winnipeg, MB
1	yes	Fortune, Mrs. Mark (Mary McDougald)	female	60 - 69	60	1	4	19950	263.0000	260	C23 C25 C27	Southampton	10	Winnipeg, MB
1	yes	Francatelli, Miss. Laura Mabel	female	30 - 39	30	0	0	PC 17485	56.9292	60	E36	Cherbourg	1	
1	no	Franklin, Mr. Thomas Parham	male	unknown		0	0	113778	26.5500	30	D34	Southampton		Westcliff-on-Sea, Essex
1	yes	Frauenthal, Dr. Henry William	male	50 - 59	50	2	0	PC 17611	133.6500	130		Southampton	5	New York, NY
1	yes	Frauenthal, Mr. Isaac Gerald	male	40 - 49	43	1	0	17765	27.7208	30	D40	Cherbourg	5	New York, NY
1	yes	Frauenthal, Mrs. Henry William (Clara Heinsheimer)	female	unknown		1	0	PC 17611	133.6500	130		Southampton	5	New York, NY
1	yes	Frolicher, Miss. Hedwig Margaritha	female	20 - 29	22	0	2	13568	49.5000	50	B39	Cherbourg	5	Zurich, Switzerland
1	yes	Frolicher-Stehli, Mr. Maxmillian	male	60 - 69	60	1	1	13567	79.2000	80	B41	Cherbourg	5	Zurich, Switzerland
1	yes	Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)	female	40 - 49	48	1	1	13567	79.2000	80	B41	Cherbourg	5	Zurich, Switzerland
1	no	Fry, Mr. Richard	male	unknown		0	0	112058	0.0000	0	B102	Southampton		
1	no	Futrelle, Mr. Jacques Heath	male	30 - 39	37	1	0	113803	53.1000	50	C123	Southampton		Scituate, MA
1	yes	Futrelle, Mrs. Jacques Heath (Lily May Peel)	female	30 - 39	35	1	0	113803	53.1000	50	C123	Southampton	D	Scituate, MA
1	no	Gee, Mr. Arthur H	male	40 - 49	47	0	0	111320	38.5000	40	E63	Southampton		St Anne's-on-Sea, Lancashire
1	yes	Geiger, Miss. Amalie	female	30 - 39	35	0	0	113503	211.5000	210	C130	Cherbourg	4	
1	yes	Gibson, Miss. Dorothy Winifred	female	20 - 29	22	0	1	112378	59.4000	60		Cherbourg	7	New York, NY
1	yes	Gibson, Mrs. Leonard (Pauline C Boeson)	female	40 - 49	45	0	1	112378	59.4000	60		Cherbourg	7	New York, NY
1	no	Giglio, Mr. Victor	male	20 - 29	24	0	0	PC 17593	79.2000	80	B86	Cherbourg		
1	yes	Goldenberg, Mr. Samuel L	male	40 - 49	49	1	0	17453	89.1042	90	C92	Cherbourg	5	Paris, France / New York, NY
1	yes	Goldenberg, Mrs. Samuel L (Edwiga Grabowska)	female	unknown		1	0	17453	89.1042	90	C92	Cherbourg	5	Paris, France / New York, NY
1	no	Goldschmidt, Mr. George B	male	70 - 79	71	0	0	PC 17754	34.6542	30	A5	Cherbourg		New York, NY
1	yes	Gracie, Col. Archibald IV	male	50 - 59	53	0	0	113780	28.5000	30	C51	Cherbourg	B	Washington, DC
1	yes	Graham, Miss. Margaret Edith	female	10 - 19	19	0	0	112053	30.0000	30	B42	Southampton	3	Greenwich, CT
1	no	Graham, Mr. George Edward	male	30 - 39	38	0	1	PC 17582	153.4625	150	C91	Southampton		Winnipeg, MB
1	yes	Graham, Mrs. William Thompson (Edith Junkins)	female	50 - 59	58	0	1	PC 17582	153.4625	150	C125	Southampton	3	Greenwich, CT
1	yes	Greenfield, Mr. William Bertram	male	20 - 29	23	0	1	PC 17759	63.3583	60	D10 D12	Cherbourg	7	New York, NY
1	yes	Greenfield, Mrs. Leo David (Blanche Strouse)	female	40 - 49	45	0	1	PC 17759	63.3583	60	D10 D12	Cherbourg	7	New York, NY
1	no	Guggenheim, Mr. Benjamin	male	40 - 49	46	0	0	PC 17593	79.2000	80	B82 B84	Cherbourg		New York, NY
1	yes	Harder, Mr. George Achilles	male	20 - 29	25	1	0	11765	55.4417	60	E50	Cherbourg	5	Brooklyn, NY
1	yes	Harder, Mrs. George Achilles (Dorothy Annan)	female	20 - 29	25	1	0	11765	55.4417	60	E50	Cherbourg	5	Brooklyn, NY
1	yes	Harper, Mr. Henry Sleeper	male	40 - 49	48	1	0	PC 17572	76.7292	80	D33	Cherbourg	3	New York, NY
1	yes	Harper, Mrs. Henry Sleeper (Myna Haxtun)	female	40 - 49	49	1	0	PC 17572	76.7292	80	D33	Cherbourg	3	New York, NY
1	no	Harrington, Mr. Charles H	male	unknown		0	0	113796	42.4000	40		Southampton		
1	no	Harris, Mr. Henry Birkhardt	male	40 - 49	45	1	0	36973	83.4750	80	C83	Southampton		New York, NY
1	yes	Harris, Mrs. Henry Birkhardt (Irene Wallach)	female	30 - 39	35	1	0	36973	83.4750	80	C83	Southampton	D	New York, NY
1	no	Harrison, Mr. William	male	40 - 49	40	0	0	112059	0.0000	0	B94	Southampton		
1	yes	Hassab, Mr. Hammad	male	20 - 29	27	0	0	PC 17572	76.7292	80	D49	Cherbourg	3	
1	yes	Hawksford, Mr. Walter James	male	unknown		0	0	16988	30.0000	30	D45	Southampton	3	Kingston, Surrey
1	yes	Hays, Miss. Margaret Bechstein	female	20 - 29	24	0	0	11767	83.1583	80	C54	Cherbourg	7	New York, NY
1	no	Hays, Mr. Charles Melville	male	50 - 59	55	1	1	12749	93.5000	90	B69	Southampton		Montreal, PQ
1	yes	Hays, Mrs. Charles Melville (Clara Jennings Gregg)	female	50 - 59	52	1	1	12749	93.5000	90	B69	Southampton	3	Montreal, PQ
1	no	Head, Mr. Christopher	male	40 - 49	42	0	0	113038	42.5000	40	B11	Southampton		London / Middlesex
1	no	Hilliard, Mr. Herbert Henry	male	unknown		0	0	17463	51.8625	50	E46	Southampton		Brighton, MA
1	no	Hipkins, Mr. William Edward	male	50 - 59	55	0	0	680	50.0000	50	C39	Southampton		London / Birmingham
1	yes	Hippach, Miss. Jean Gertrude	female	10 - 19	16	0	1	111361	57.9792	60	B18	Cherbourg	4	Chicago, IL
1	yes	Hippach, Mrs. Louis Albert (Ida Sophia Fischer)	female	40 - 49	44	0	1	111361	57.9792	60	B18	Cherbourg	4	Chicago, IL
1	yes	Hogeboom, Mrs. John C (Anna Andrews)	female	50 - 59	51	1	0	13502	77.9583	80	D11	Southampton	10	Hudson, NY
1	no	Holverson, Mr. Alexander Oskar	male	40 - 49	42	1	0	113789	52.0000	50		Southampton		New York, NY
1	yes	Holverson, Mrs. Alexander Oskar (Mary Aline Towner)	female	30 - 39	35	1	0	113789	52.0000	50		Southampton	8	New York, NY
1	yes	Homer, Mr. Harry ("Mr E Haven")	male	30 - 39	35	0	0	111426	26.5500	30		Cherbourg	15	Indianapolis, IN
1	yes	Hoyt, Mr. Frederick Maxfield	male	30 - 39	38	1	0	19943	90.0000	90	C93	Southampton	D	New York, NY /  Stamford CT
1	no	Hoyt, Mr. William Fisher	male	unknown		0	0	PC 17600	30.6958	30		Cherbourg	14	New York, NY
1	yes	Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)	female	30 - 39	35	1	0	19943	90.0000	90	C93	Southampton	D	New York, NY /  Stamford CT
1	yes	Icard, Miss. Amelie	female	30 - 39	38	0	0	113572	80.0000	80	B28		6	
1	no	Isham, Miss. Ann Elizabeth	female	50 - 59	50	0	0	PC 17595	28.7125	30	C49	Cherbourg		Paris, France New York, NY
1	yes	Ismay, Mr. Joseph Bruce	male	40 - 49	49	0	0	112058	0.0000	0	B52 B54 B56	Southampton	C	Liverpool
1	no	Jones, Mr. Charles Cresson	male	40 - 49	46	0	0	694	26.0000	30		Southampton		Bennington, VT
1	no	Julian, Mr. Henry Forbes	male	50 - 59	50	0	0	113044	26.0000	30	E60	Southampton		London
1	no	Keeping, Mr. Edwin	male	30 - 39	32.5	0	0	113503	211.5000	210	C132	Cherbourg		
1	no	Kent, Mr. Edward Austin	male	50 - 59	58	0	0	11771	29.7000	30	B37	Cherbourg		Buffalo, NY
1	no	Kenyon, Mr. Frederick R	male	40 - 49	41	1	0	17464	51.8625	50	D21	Southampton		Southington / Noank, CT
1	yes	Kenyon, Mrs. Frederick R (Marion)	female	unknown		1	0	17464	51.8625	50	D21	Southampton	8	Southington / Noank, CT
1	yes	Kimball, Mr. Edwin Nelson Jr	male	40 - 49	42	1	0	11753	52.5542	50	D19	Southampton	5	Boston, MA
1	yes	Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)	female	40 - 49	45	1	0	11753	52.5542	50	D19	Southampton	5	Boston, MA
1	no	Klaber, Mr. Herman	male	unknown		0	0	113028	26.5500	30	C124	Southampton		Portland, OR
1	yes	Kreuchen, Miss. Emilie	female	30 - 39	39	0	0	24160	211.3375	210		Southampton	2	
1	yes	Leader, Dr. Alice (Farnham)	female	40 - 49	49	0	0	17465	25.9292	30	D17	Southampton	8	New York, NY
1	yes	LeRoy, Miss. Bertha	female	30 - 39	30	0	0	PC 17761	106.4250	110		Cherbourg	2	
1	yes	Lesurer, Mr. Gustave J	male	30 - 39	35	0	0	PC 17755	512.3292	510	B101	Cherbourg	3	
1	no	Lewy, Mr. Ervin G	male	unknown		0	0	PC 17612	27.7208	30		Cherbourg		Chicago, IL
1	no	Lindeberg-Lind, Mr. Erik Gustaf ("Mr Edward Lingrey")	male	40 - 49	42	0	0	17475	26.5500	30		Southampton		Stockholm, Sweden
1	yes	Lindstrom, Mrs. Carl Johan (Sigrid Posse)	female	50 - 59	55	0	0	112377	27.7208	30		Cherbourg	6	Stockholm, Sweden
1	yes	Lines, Miss. Mary Conover	female	10 - 19	16	0	1	PC 17592	39.4000	40	D28	Southampton	9	Paris, France
1	yes	Lines, Mrs. Ernest H (Elizabeth Lindsey James)	female	50 - 59	51	0	1	PC 17592	39.4000	40	D28	Southampton	9	Paris, France
1	no	Long, Mr. Milton Clyde	male	20 - 29	29	0	0	113501	30.0000	30	D6	Southampton		Springfield, MA
1	yes	Longley, Miss. Gretchen Fiske	female	20 - 29	21	0	0	13502	77.9583	80	D9	Southampton	10	Hudson, NY
1	no	Loring, Mr. Joseph Holland	male	30 - 39	30	0	0	113801	45.5000	50		Southampton		London / New York, NY
1	yes	Lurette, Miss. Elise	female	50 - 59	58	0	0	PC 17569	146.5208	150	B80	Cherbourg		
1	yes	Madill, Miss. Georgette Alexandra	female	10 - 19	15	0	1	24160	211.3375	210	B5	Southampton	2	St Louis, MO
1	no	Maguire, Mr. John Edward	male	30 - 39	30	0	0	110469	26.0000	30	C106	Southampton		Brockton, MA
1	yes	Maioni, Miss. Roberta	female	10 - 19	16	0	0	110152	86.5000	90	B79	Southampton	8	
1	yes	Marechal, Mr. Pierre	male	unknown		0	0	11774	29.7000	30	C47	Cherbourg	7	Paris, France
1	no	Marvin, Mr. Daniel Warner	male	10 - 19	19	1	0	113773	53.1000	50	D30	Southampton		New York, NY
1	yes	Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)	female	10 - 19	18	1	0	113773	53.1000	50	D30	Southampton	10	New York, NY
1	yes	Mayne, Mlle. Berthe Antonine ("Mrs de Villiers")	female	20 - 29	24	0	0	PC 17482	49.5042	50	C90	Cherbourg	6	Belgium  Montreal, PQ
1	no	McCaffry, Mr. Thomas Francis	male	40 - 49	46	0	0	13050	75.2417	80	C6	Cherbourg		Vancouver, BC
1	no	McCarthy, Mr. Timothy J	male	50 - 59	54	0	0	17463	51.8625	50	E46	Southampton		Dorchester, MA
1	yes	McGough, Mr. James Robert	male	30 - 39	36	0	0	PC 17473	26.2875	30	E25	Southampton	7	Philadelphia, PA
1	no	Meyer, Mr. Edgar Joseph	male	20 - 29	28	1	0	PC 17604	82.1708	80		Cherbourg		New York, NY
1	yes	Meyer, Mrs. Edgar Joseph (Leila Saks)	female	unknown		1	0	PC 17604	82.1708	80		Cherbourg	6	New York, NY
