Year,Media,Market Share
2000,Download Single,0
2001,Download Single,0
2002,Download Single,0
2003,Download Single,0
2004,Download Single,1.1
2005,Download Single,3.1
2006,Download Single,5.1
2007,Download Single,7.8
2008,Download Single,12.5
2009,Download Single,16.9
2010,Download Single,21
1980,DVD Audio,0
1981,DVD Audio,0
1982,DVD Audio,0
1983,DVD Audio,0
1984,DVD Audio,0
1985,DVD Audio,0
1986,DVD Audio,0
1987,DVD Audio,0
1988,DVD Audio,0
1989,DVD Audio,0
1990,DVD Audio,0
1991,DVD Audio,0
1992,DVD Audio,0
1993,DVD Audio,0
1994,DVD Audio,0
1995,DVD Audio,0
1996,DVD Audio,0
1997,DVD Audio,0
1998,DVD Audio,0
1999,DVD Audio,0
2000,DVD Audio,0
2001,DVD Audio,0
2002,DVD Audio,0.1
2003,DVD Audio,0.1
2004,DVD Audio,0.1
2005,DVD Audio,0.1
2006,DVD Audio,0
2007,DVD Audio,0
2008,DVD Audio,0
2009,DVD Audio,0
2010,DVD Audio,0
1980,Kiosk,0
1981,Kiosk,0
1982,Kiosk,0
1983,Kiosk,0
1984,Kiosk,0
1985,Kiosk,0
1986,Kiosk,0
1987,Kiosk,0
1988,Kiosk,0
1989,Kiosk,0
1990,Kiosk,0
1991,Kiosk,0
1992,Kiosk,0
1993,Kiosk,0
1994,Kiosk,0
1995,Kiosk,0
1996,Kiosk,0
1997,Kiosk,0
1998,Kiosk,0
1999,Kiosk,0
2000,Kiosk,0
2001,Kiosk,0
2002,Kiosk,0
2003,Kiosk,0
2004,Kiosk,0
2005,Kiosk,0
2006,Kiosk,0
2007,Kiosk,0
2008,Kiosk,0
2009,Kiosk,0.1
2010,Kiosk,0.1
1980,LP/EP,59.8
1981,LP/EP,58.9
1982,LP/EP,53.1
1983,LP/EP,44.6
1984,LP/EP,35.7
1985,LP/EP,29.4
1986,LP/EP,21.2
1987,LP/EP,14.3
1988,LP/EP,8.5
1989,LP/EP,3.3
1990,LP/EP,1.1
1991,LP/EP,0.4
1992,LP/EP,0.1
1993,LP/EP,0.1
1994,LP/EP,0.1
1995,LP/EP,0.2
1996,LP/EP,0.3
1997,LP/EP,0.3
1998,LP/EP,0.2
1999,LP/EP,0.2
2000,LP/EP,0.2
2001,LP/EP,0.2
2002,LP/EP,0.2
2003,LP/EP,0.2
2004,LP/EP,0.2
2005,LP/EP,0.1
2006,LP/EP,0.1
2007,LP/EP,0.2
2008,LP/EP,0.6
2009,LP/EP,0.8
2010,LP/EP,1.3
1980,Mobile,0
1981,Mobile,0
1982,Mobile,0
1983,Mobile,0
1984,Mobile,0
1985,Mobile,0
1986,Mobile,0
1987,Mobile,0
1988,Mobile,0
1989,Mobile,0
1990,Mobile,0
1991,Mobile,0
1992,Mobile,0
1993,Mobile,0
1994,Mobile,0
1995,Mobile,0
1996,Mobile,0
1997,Mobile,0
1998,Mobile,0
1999,Mobile,0
2000,Mobile,0
2001,Mobile,0
2002,Mobile,0
2003,Mobile,0
2004,Mobile,0
2005,Mobile,3.4
2006,Mobile,6.6
2007,Mobile,9.9
2008,Mobile,11.1
2009,Mobile,9.5
2010,Mobile,7.7
1980,Music video,0
1981,Music video,0
1982,Music video,0
1983,Music video,0
1984,Music video,0
1985,Music video,0
1986,Music video,0
1987,Music video,0
1988,Music video,0
1989,Music video,1.8
1990,Music video,2.3
1991,Music video,1.5
1992,Music video,1.7
1993,Music video,2.1
1994,Music video,1.9
1995,Music video,1.8
1996,Music video,1.9
1997,Music video,2.6
1998,Music video,2.6
1999,Music video,2.6
2000,Music video,2.0
2001,Music video,2.4
2002,Music video,2.3
2003,Music video,3.4
2004,Music video,4.9
2005,Music video,4.9
2006,Music video,3.8
2007,Music video,4.6
2008,Music video,2.5
2009,Music video,2.8
2010,Music video,2.6
1980,SACD,0
1981,SACD,0
1982,SACD,0
1983,SACD,0
1984,SACD,0
1985,SACD,0
1986,SACD,0
1987,SACD,0
1988,SACD,0
1989,SACD,0
1990,SACD,0
1991,SACD,0
1992,SACD,0
1993,SACD,0
1994,SACD,0
1995,SACD,0
1996,SACD,0
1997,SACD,0
1998,SACD,0
1999,SACD,0
2000,SACD,0
2001,SACD,0
2002,SACD,0
2003,SACD,0.2
2004,SACD,0.1
2005,SACD,0.1
2006,SACD,0
2007,SACD,0
2008,SACD,0
2009,SACD,0
2010,SACD,0
1980,Subscription,0
1981,Subscription,0
1982,Subscription,0
1983,Subscription,0
1984,Subscription,0
1985,Subscription,0
1986,Subscription,0
1987,Subscription,0
1988,Subscription,0
1989,Subscription,0
1990,Subscription,0
1991,Subscription,0
1992,Subscription,0
1993,Subscription,0
1994,Subscription,0
1995,Subscription,0
1996,Subscription,0
1997,Subscription,0
1998,Subscription,0
1999,Subscription,0
2000,Subscription,0
2001,Subscription,0
2002,Subscription,0
2003,Subscription,0
2004,Subscription,0
2005,Subscription,1.2
2006,Subscription,1.8
2007,Subscription,2.2
2008,Subscription,2.5
2009,Subscription,2.8
2010,Subscription,2.9
1980,vinyl single,6.8
1981,vinyl single,6.5
1982,vinyl single,7.7
1983,vinyl single,7.1
1984,vinyl single,6.9
1985,vinyl single,6.4
1986,vinyl single,4.9
1987,vinyl single,3.7
1988,vinyl single,2.9
1989,vinyl single,1.8
1990,vinyl single,1.3
1991,vinyl single,0.8
1992,vinyl single,0.7
1993,vinyl single,0.5
1994,vinyl single,0.4
1995,vinyl single,0.4
1996,vinyl single,0.4
1997,vinyl single,0.3
1998,vinyl single,0.2
1999,vinyl single,0.2
2000,vinyl single,0.2
2001,vinyl single,0.2
2002,vinyl single,0.2
2003,vinyl single,0.2
2004,vinyl single,0.2
2005,vinyl single,0.1
2006,vinyl single,0.1
2007,vinyl single,0
2008,vinyl single,0
2009,vinyl single,0
2010,vinyl single,0
