ID	Name	Year	Attacker king	Defender king	attacker 1	attacker 2	attacker 3	attacker 4	defender 1	defender 2	defender 3	defender 4	attacker commander	defender commander	attacker outcome	battle type	major death	major capture	attacker size	defender size	summer	location	region	note
11	Battle of Torrhen's Square	299	Robb Stark	Balon/Euron Greyjoy	Stark				Greyjoy				Rodrik Cassel, Cley Cerwyn	Dagmer Cleftjaw	win	pitched battle	0	0	244	900	1	Torrhen's Square	The North	Greyjoy's troop number comes from the 264 estimate to have arrived on the stony shore minus the 20 Theon takes to attack Winterfell. Thus 264-20=244
12	Battle of Winterfell	299	Balon/Euron Greyjoy	Robb Stark	Greyjoy				Stark				Theon Greyjoy	Bran Stark	win	ambush	0	1	20		1	Winterfell	The North	It isn't mentioned how many Stark men are left in Winterfell, other than "very few".
13	Sack of Torrhen's Square	299	Balon/Euron Greyjoy	Balon/Euron Greyjoy	Greyjoy				Stark				Dagmer Cleftjaw		win	siege	0	1			1	Torrhen's Square	The North	
14	Sack of Winterfell	299	Joffrey/Tommen Baratheon	Robb Stark	Bolton	Greyjoy			Stark				Ramsay Snow, Theon Greyjoy 	Rodrik Cassel, Cley Cerwyn, Leobald Tallhart	win	ambush	1	0	618	2000	1	Winterfell	The North	Since House Bolton betrays the Starks for House Lannister, we code this battle as between these two houses. Greyjoy men, numbering only 20, don't play a major part in the fighting and end up dying anyway.
15	Battle of Oxcross	299	Robb Stark	Joffrey/Tommen Baratheon	Stark	Tully			Lannister				Robb Stark, Brynden Tully	Stafford Lannister, Roland Crakehall, Antario Jast	win	ambush	1	1	6000	10000	1	Oxcross	The Westerlands	
16	Siege of Storm's End	299	Stannis Baratheon	Renly Baratheon	Baratheon				Baratheon				Stannis Baratheon, Davos Seaworth	Renly Baratheon, Cortnay Penrose, Loras Tyrell, Randyll Tarly, Mathis Rowan	win	siege	1	0	5000	20000	1	Storm's End	The Stormlands	
17	Battle of the Fords	299	Joffrey/Tommen Baratheon	Robb Stark	Lannister				Tully				Tywin Lannister, Flement Brax, Gregor Clegane, Addam Marbrand, Lyle Crakehall, Leo Lefford	Edmure Tully, Jason Mallister, Karyl Vance	loss	pitched battle	0	0	20000	10000	1	Red Fork	The Riverlands	
18	Sack of Harrenhal	299	Robb Stark	Joffrey/Tommen Baratheon	Stark				Lannister				Roose Bolton, Vargo Hoat, Robett Glover	Amory Lorch	win	ambush	1	0	100	100	1	Harrenhal	The Riverlands	
19	Battle of the Crag	299	Robb Stark	Joffrey/Tommen Baratheon	Stark				Lannister				Robb Stark, Smalljon Umber, Black Walder Frey	Rolph Spicer	win	ambush	0	0	6000		1	Crag	The Westerlands	
20	Battle of the Blackwater	299	Stannis Baratheon	Joffrey/Tommen Baratheon	Baratheon				Lannister				Stannis Baratheon, Imry Florent, Guyard Morrigen, Rolland Storm, Salladhor Saan, Davos Seaworth	Tyrion Lannister, Jacelyn Bywater, Sandor Clegane, Tywin Lannister, Garlan Tyrell, Mace Tyrell, Randyll Tarly	loss	pitched battle	1	1	21000	7250	1	King's Landing	The Crownlands	
21	Siege of Darry	299	Robb Stark	Joffrey/Tommen Baratheon	Darry				Lannister				Helman Tallhart		win	siege	0	0			1	Darry	The Riverlands	
22	Battle of Duskendale	299	Robb Stark	Joffrey/Tommen Baratheon	Stark				Lannister				Robertt Glover, Helman Tallhart	Randyll Tarly, Gregor Clegane	loss	pitched battle	1	0	3000		1	Duskendale	The Crownlands	
23	Battle of the Burning Septry	299			Brotherhood without Banners				Brave Companions						win	pitched battle	0	0			1		The Riverlands	
24	Battle of the Ruby Ford	299	Joffrey/Tommen Baratheon	Robb Stark	Lannister				Stark				Gregor Clegane	Roose Bolton, Wylis Manderly	win	pitched battle	0	0		6000		Ruby Ford	The Riverlands	
25	Retaking of Harrenhal	299	Joffrey/Tommen Baratheon		Lannister				Brave Companions				Gregor Clegane	Vargo Hoat	win	pitched battle	1	0			1	Harrenhal	The Riverlands	
26	The Red Wedding	299	Joffrey/Tommen Baratheon	Robb Stark	Frey	Bolton			Stark				Walder Frey, Roose Bolton, Walder Rivers	Robb Stark	win	ambush	1	1	3500	3500	1	The Twins	The Riverlands	This observation refers to the battle against the Stark men, not the attack on the wedding
27	Siege of Seagard	299	Robb Stark	Joffrey/Tommen Baratheon	Frey				Mallister				Walder Frey	Jason Mallister	win	siege	0	1			1	Seagard	The Riverlands	
28	Battle of Castle Black	300	Stannis Baratheon	Mance Rayder	Free folk	Thenns	Giants		Night's Watch	Baratheon			Mance Rayder, Tormund Giantsbane, Harma Dogshead, Magnar Styr, Varamyr	Stannis Baratheon, Jon Snow, Donal Noye, Cotter Pyke	loss	siege	1	1	100000	1240	0	Castle Black	Beyond the Wall	
29	Fall of Moat Cailin	300	Joffrey/Tommen Baratheon	Balon/Euron Greyjoy	Bolton				Greyjoy				Ramsey Bolton		win	siege	0	0			0	Moat Cailin	The North	
30	Sack of Saltpans	300			Brave Companions								Rorge		win	razing	0	0			0	Saltpans	The Riverlands	
31	Retaking of Deepwood Motte	300	Stannis Baratheon	Balon/Euron Greyjoy	Baratheon	Karstark	Mormont	Glover	Greyjoy				Stannis Baratheon, Alysane Mormot	Asha Greyjoy	win	pitched battle	0	0	4500	200	0	Deepwood Motte	The North	
32	Battle of the Shield Islands	300	Balon/Euron Greyjoy	Joffrey/Tommen Baratheon	Greyjoy				Tyrell				Euron Greyjoy, Victarion Greyjoy		win	pitched battle	0	0			0	Shield Islands	The Reach	
33	Invasion of Ryamsport, Vinetown, and Starfish Harbor	300	Balon/Euron Greyjoy	Joffrey/Tommen Baratheon	Greyjoy				Tyrell				Euron Greyjoy, Victarion Greyjoy		win	razing	0	0			0	Ryamsport, Vinetown, Starfish Harbor	The Reach	
34	Second Seige of Storm's End	300	Joffrey/Tommen Baratheon	Stannis Baratheon	Baratheon				Baratheon				Mace Tyrell, Mathis Rowan	Gilbert Farring	win	siege	0	0		200	0	Storm's End	The Stormlands	
35	Siege of Dragonstone	300	Joffrey/Tommen Baratheon	Stannis Baratheon	Baratheon				Baratheon				Loras Tyrell, Raxter Redwyne	Rolland Storm	win	siege	0	0	2000		0	Dragonstone	The Stormlands	
36	Siege of Riverrun	300	Joffrey/Tommen Baratheon	Robb Stark	Lannister	Frey			Tully				Daven Lannister, Ryman Fey, Jaime Lannister	Brynden Tully	win	siege	0	0	3000		0	Riverrun	The Riverlands	
37	Siege of Raventree	300	Joffrey/Tommen Baratheon	Robb Stark	Bracken	Lannister			Blackwood				Jonos Bracken, Jaime Lannister	Tytos Blackwood	win	siege	0	1	1500		0	Raventree	The Riverlands	
38	Siege of Winterfell	300	Stannis Baratheon	Joffrey/Tommen Baratheon	Baratheon	Karstark	Mormont	Glover	Bolton	Frey			Stannis Baratheon	Roose Bolton					5000	8000	0	Winterfell	The North	
