Id	Sepal Length (cm)	Sepal Width (cm)	Petal Length (cm)	Petal Width (cm)	Species
79	6.0	2.9	4.5	1.5	Iris Versicolor
80	5.7	2.6	3.5	1.0	Iris Versicolor
81	5.5	2.4	3.8	1.1	Iris Versicolor
82	5.5	2.4	3.7	1.0	Iris Versicolor
83	5.8	2.7	3.9	1.2	Iris Versicolor
84	6.0	2.7	5.1	1.6	Iris Versicolor
85	5.4	3.0	4.5	1.5	Iris Versicolor
86	6.0	3.4	4.5	1.6	Iris Versicolor
87	6.7	3.1	4.7	1.5	Iris Versicolor
88	6.3	2.3	4.4	1.3	Iris Versicolor
89	5.6	3.0	4.1	1.3	Iris Versicolor
90	5.5	2.5	4.0	1.3	Iris Versicolor
91	5.5	2.6	4.4	1.2	Iris Versicolor
92	6.1	3.0	4.6	1.4	Iris Versicolor
93	5.8	2.6	4.0	1.2	Iris Versicolor
94	5.0	2.3	3.3	1.0	Iris Versicolor
95	5.6	2.7	4.2	1.3	Iris Versicolor
96	5.7	3.0	4.2	1.2	Iris Versicolor
97	5.7	2.9	4.2	1.3	Iris Versicolor
98	6.2	2.9	4.3	1.3	Iris Versicolor
99	5.1	2.5	3.0	1.1	Iris Versicolor
100	5.7	2.8	4.1	1.3	Iris Versicolor
101	6.3	3.3	6.0	2.5	Iris Virginica
102	5.8	2.7	5.1	1.9	Iris Virginica
103	7.1	3.0	5.9	2.1	Iris Virginica
104	6.3	2.9	5.6	1.8	Iris Virginica
105	6.5	3.0	5.8	2.2	Iris Virginica
106	7.6	3.0	6.6	2.1	Iris Virginica
107	4.9	2.5	4.5	1.7	Iris Virginica
108	7.3	2.9	6.3	1.8	Iris Virginica
109	6.7	2.5	5.8	1.8	Iris Virginica
110	7.2	3.6	6.1	2.5	Iris Virginica
111	6.5	3.2	5.1	2.0	Iris Virginica
112	6.4	2.7	5.3	1.9	Iris Virginica
113	6.8	3.0	5.5	2.1	Iris Virginica
114	5.7	2.5	5.0	2.0	Iris Virginica
115	5.8	2.8	5.1	2.4	Iris Virginica
116	6.4	3.2	5.3	2.3	Iris Virginica
117	6.5	3.0	5.5	1.8	Iris Virginica
118	7.7	3.8	6.7	2.2	Iris Virginica
119	7.7	2.6	6.9	2.3	Iris Virginica
120	6.0	2.2	5.0	1.5	Iris Virginica
121	6.9	3.2	5.7	2.3	Iris Virginica
122	5.6	2.8	4.9	2.0	Iris Virginica
123	7.7	2.8	6.7	2.0	Iris Virginica
124	6.3	2.7	4.9	1.8	Iris Virginica
125	6.7	3.3	5.7	2.1	Iris Virginica
126	7.2	3.2	6.0	1.8	Iris Virginica
127	6.2	2.8	4.8	1.8	Iris Virginica
128	6.1	3.0	4.9	1.8	Iris Virginica
129	6.4	2.8	5.6	2.1	Iris Virginica
130	7.2	3.0	5.8	1.6	Iris Virginica
131	7.4	2.8	6.1	1.9	Iris Virginica
132	7.9	3.8	6.4	2.0	Iris Virginica
133	6.4	2.8	5.6	2.2	Iris Virginica
134	6.3	2.8	5.1	1.5	Iris Virginica
135	6.1	2.6	5.6	1.4	Iris Virginica
136	7.7	3.0	6.1	2.3	Iris Virginica
137	6.3	3.4	5.6	2.4	Iris Virginica
138	6.4	3.1	5.5	1.8	Iris Virginica
139	6.0	3.0	4.8	1.8	Iris Virginica
140	6.9	3.1	5.4	2.1	Iris Virginica
141	6.7	3.1	5.6	2.4	Iris Virginica
142	6.9	3.1	5.1	2.3	Iris Virginica
143	5.8	2.7	5.1	1.9	Iris Virginica
144	6.8	3.2	5.9	2.3	Iris Virginica
145	6.7	3.3	5.7	2.5	Iris Virginica
146	6.7	3.0	5.2	2.3	Iris Virginica
147	6.3	2.5	5.0	1.9	Iris Virginica
148	6.5	3.0	5.2	2.0	Iris Virginica
149	6.2	3.4	5.4	2.3	Iris Virginica
150	5.9	3.0	5.1	1.8	Iris Virginica
