Date	Mean temerature (°C)
1945-04-30	4.44
1945-05-01	5.56
1945-05-02	6.67
1945-05-03	6.11
1945-05-04	9.44
1945-05-05	12.22
1945-05-06	15.56
1945-05-07	20.00
1945-05-08	21.11
1945-05-09	21.11
1945-05-10	21.11
1945-05-11	21.11
1945-05-12	22.78
1945-05-13	22.22
1945-05-14	16.11
1945-05-15	16.67
1945-05-16	21.11
1945-05-17	24.44
1945-05-18	21.11
1945-05-19	16.11
1945-05-20	18.89
1945-05-21	12.22
1945-05-22	12.22
1945-05-23	12.78
1945-05-24	12.22
1945-05-25	12.22
1945-05-26	12.78
1945-05-27	13.33
1945-05-28	16.67
1945-05-29	14.44
1945-05-30	14.44
1945-05-31	14.44
1945-06-01	13.89
1945-06-02	14.44
1945-06-03	17.22
1945-06-04	17.22
1945-06-05	19.44
1945-06-06	22.78
1945-06-07	20.56
1945-06-08	17.78
1945-06-09	16.11
1945-06-10	15.56
1945-06-11	18.89
1945-06-12	17.22
1945-06-13	14.44
1945-06-14	15.00
1945-06-15	16.11
1945-06-16	15.56
1945-06-17	16.11
1945-06-18	17.22
1945-06-19	23.33
1945-06-20	22.78
1945-06-21	18.89
1945-06-22	18.89
1945-06-23	24.44
1945-06-24	21.11
1945-06-25	18.33
1945-06-26	21.11
1945-06-27	13.89
1945-06-28	11.67
1945-06-29	15.56
1945-06-30	16.11
1945-07-01	14.44
1945-07-02	15.56
1945-07-03	15.56
1945-07-04	16.67
1945-07-05	19.44
1945-07-06	21.67
1945-07-07	20.56
1945-07-08	23.33
1945-07-09	22.22
1945-07-10	17.78
1945-07-11	17.78
1945-07-12	18.33
1945-07-13	23.33
1945-07-14	26.67
1945-07-15	23.33
1945-07-16	18.89
1945-07-17	19.44
1945-07-18	23.33
1945-07-19	23.33
1945-07-20	20.00
1945-07-21	22.22
1945-07-22	20.00
1945-07-23	18.89
1945-07-24	23.33
1945-07-25	22.22
1945-07-26	23.33
1945-07-27	17.78
1945-07-28	17.78
1945-07-29	17.78
1945-07-30	17.78
1945-07-31	18.89
1945-08-01	17.78
1945-08-02	16.67
1945-08-03	18.33
1945-08-04	20.00
1945-08-05	21.67
1945-08-06	17.22
1945-08-07	16.11
1945-08-08	15.00
1945-08-09	17.22
1945-08-10	18.33
1945-08-11	19.44
1945-08-12	19.44
1945-08-13	20.00
1945-08-14	18.33
1945-08-15	18.89
1945-08-16	16.67
1945-08-17	18.89
1945-08-18	18.33
1945-08-19	16.67
1945-08-20	16.67
1945-08-21	17.78
1945-08-22	17.78
1945-08-23	17.22
1945-08-24	18.89
1945-08-25	20.00
1945-08-26	20.56
1945-08-27	22.22
1945-08-28	23.33
1945-08-29	22.22
1945-08-30	18.33
1945-08-31	18.89
1945-09-01	18.89
1945-09-02	20.00
1945-09-03	20.00
1945-09-04	17.78
1945-09-05	17.22
1945-09-06	15.00
1945-09-07	16.67
1945-09-08	17.78
1945-09-09	16.67
1945-09-10	14.44
1945-09-11	18.89
1945-09-12	19.44
1945-09-13	18.89
1945-09-14	16.11
1945-09-15	16.11
1945-09-16	20.00
1945-09-17	20.56
1945-09-18	18.33
1945-09-19	16.67
1945-09-20	17.22
1945-09-21	17.22
1945-09-22	16.67
1945-09-23	12.22
1945-09-24	11.67
1945-09-25	11.11
1945-09-26	11.67
1945-09-27	14.44
1945-09-28	14.44
1945-09-29	12.22
1945-09-30	11.67
1945-10-01	13.33
1945-10-02	13.33
1945-10-03	10.00
1945-10-04	11.11
1945-10-05	8.89
1945-10-06	10.00
1945-10-07	12.22
1945-10-08	11.11
1945-10-09	9.44
1945-10-10	14.44
1945-10-11	16.11
1945-10-12	15.56
1945-10-13	16.11
1945-10-14	12.78
1945-10-15	8.89
1945-10-16	11.11
1945-10-17	12.22
1945-10-18	10.00
1945-10-19	12.22
1945-10-20	13.33
1945-10-21	16.67
1945-10-22	17.22
1945-10-23	14.44
1945-10-24	14.44
1945-10-25	11.67
1945-10-26	14.44
1945-10-27	11.11
1945-10-28	12.22
1945-10-29	12.22
1945-10-30	12.22
1945-10-31	11.11
1945-11-01	8.33
1945-11-02	12.78
1945-11-03	11.67
1945-11-04	13.33
1945-11-05	10.00
1945-11-06	10.56
1945-11-07	10.00
1945-11-08	7.78
1945-11-09	9.44
1945-11-10	6.67
1945-11-11	6.67
1945-11-12	5.56
1945-11-13	4.44
1945-11-14	4.44
1945-11-15	1.11
1945-11-16	2.78
1945-11-17	5.56
1945-11-18	6.67
1945-11-19	7.22
1945-11-20	5.00
1945-11-21	3.33
1945-11-22	3.89
1945-11-23	6.67
1945-11-24	7.22
1945-11-25	5.00
1945-11-26	2.78
1945-11-27	3.89
1945-11-28	2.78
1945-11-29	-0.56
1945-11-30	0.56
1945-12-01	4.44
1945-12-02	9.44
1945-12-03	5.00
1945-12-04	2.22
1945-12-05	6.67
1945-12-06	4.44
1945-12-07	1.67
1945-12-08	-2.22
1945-12-09	-6.67
1945-12-10	-3.89
1945-12-11	2.22
1945-12-12	3.89
1945-12-13	5.00
1945-12-14	4.44
1945-12-15	3.33
1945-12-16	3.89
1945-12-17	6.67
1945-12-18	9.44
1945-12-19	8.89
1945-12-20	7.78
1945-12-21	3.33
1945-12-22	7.22
1945-12-23	7.22
1945-12-24	7.22
1945-12-25	5.00
1945-12-26	6.67
1945-12-27	10.00
1945-12-28	8.89
1945-12-29	6.11
1945-12-30	5.00
1945-12-31	0.00
