Action type	Shot type	Shot zone	Shot distance	X	Y	SHOT_MADE_FLAG
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	9	-90	0	1
Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	8	6	1
Jump Shot	2PT Field Goal	Mid-Range	16	-32	162	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-186	174	0
Layup Shot	2PT Field Goal	Restricted Area	1	3	10	1
Jump Shot	3PT Field Goal	Above the Break 3	25	76	248	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-95	258	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	8	-30	78	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	-7	4	1
Jump Shot	2PT Field Goal	Mid-Range	13	116	62	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	0	16	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	10	-100	-15	1
Step Back Jump shot	2PT Field Goal	Mid-Range	17	153	83	1
Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	14	251	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-199	146	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	7	14	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-3	0	1
Pullup Jump shot	2PT Field Goal	Mid-Range	18	-153	102	1
Pullup Jump shot	2PT Field Goal	Mid-Range	19	0	196	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-7	7	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	16	165	37	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-149	202	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	10	-3	104	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	13	120	58	0
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	11	6	112	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-136	223	1
Jump Shot	3PT Field Goal	Above the Break 3	24	85	230	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	1	-8	11	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	0	5	4	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	30	-157	264	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-13	21	0
Layup Shot	2PT Field Goal	Restricted Area	1	14	5	0
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	0
Layup Shot	2PT Field Goal	Restricted Area	1	15	12	0
Jump Shot	3PT Field Goal	Above the Break 3	25	180	181	0
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	7	40	68	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	-6	15	0
Layup Shot	2PT Field Goal	Restricted Area	1	6	17	1
Putback Dunk Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Layup Shot	2PT Field Goal	Restricted Area	1	-5	13	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-4	10	0
Step Back Jump shot	2PT Field Goal	Mid-Range	12	-90	80	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	13	-118	72	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	94	226	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-64	247	0
Step Back Jump shot	2PT Field Goal	Mid-Range	21	202	83	1
Fadeaway Jump Shot	3PT Field Goal	Above the Break 3	24	223	90	1
Pullup Jump shot	2PT Field Goal	Mid-Range	17	-84	150	1
Jump Shot	2PT Field Goal	Mid-Range	21	-76	201	0
Jump Shot	3PT Field Goal	Right Corner 3	23	224	82	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	5	11	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-2	6	1
Jump Shot	3PT Field Goal	Left Corner 3	22	-223	9	0
Step Back Jump shot	2PT Field Goal	Mid-Range	10	99	15	1
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	13	36	134	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	11	4	0
Layup Shot	2PT Field Goal	Restricted Area	1	-6	8	1
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	8	14	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	7	9	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	67	14	0
Jump Shot	3PT Field Goal	Right Corner 3	23	222	76	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-175	184	1
Step Back Jump shot	2PT Field Goal	Mid-Range	19	-191	22	0
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	29	-14	294	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-1	12	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	-5	17	1
Step Back Jump shot	2PT Field Goal	Mid-Range	19	59	181	1
Turnaround Jump Shot	2PT Field Goal	Mid-Range	18	-175	73	0
Jump Shot	2PT Field Goal	Mid-Range	19	150	122	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	13	11	1
Turnaround Jump Shot	2PT Field Goal	Mid-Range	18	123	141	0
Turnaround Bank Hook Shot	2PT Field Goal	Restricted Area	1	-11	8	0
Jump Shot	3PT Field Goal	Above the Break 3	24	123	215	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-18	14	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	3	3	37	1
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	13	-38	131	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	16	109	125	1
Running Layup Shot	2PT Field Goal	Restricted Area	2	11	24	0
Pullup Jump shot	2PT Field Goal	Mid-Range	16	-81	143	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	25	3	1
Jump Shot	2PT Field Goal	Restricted Area	1	-8	16	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	121	216	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	-16	17	0
Jump Shot	3PT Field Goal	Above the Break 3	29	-165	246	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	4	8	1
Jump Shot	3PT Field Goal	Above the Break 3	28	-164	230	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-11	1	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	18	-183	6	1
Pullup Jump shot	2PT Field Goal	Mid-Range	16	47	158	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	-2	-5	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	0	-7	4	1
Jump Shot	3PT Field Goal	Above the Break 3	34	-112	323	0
Floating Jump shot	2PT Field Goal	Restricted Area	3	-18	35	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	17	10	0
Driving Floating Jump Shot	2PT Field Goal	Restricted Area	2	-2	29	1
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	3	24	24	0
Running Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	18	51	1
Jump Shot	3PT Field Goal	Above the Break 3	27	154	231	0
Floating Jump shot	2PT Field Goal	Restricted Area	2	5	21	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-2	14	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	13	-137	16	1
Jump Shot	3PT Field Goal	Above the Break 3	25	182	183	1
Jump Shot	3PT Field Goal	Above the Break 3	30	168	260	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	21	-67	204	0
Step Back Jump shot	2PT Field Goal	Mid-Range	17	-113	140	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	-2	14	1
Jump Shot	3PT Field Goal	Above the Break 3	27	137	240	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	-30	36	0
Layup Shot	2PT Field Goal	Restricted Area	2	12	20	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	0	3	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-2	14	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-10	10	1
Jump Shot	3PT Field Goal	Above the Break 3	27	52	271	1
Jump Shot	3PT Field Goal	Above the Break 3	29	-44	288	0
Layup Shot	2PT Field Goal	Restricted Area	2	-13	21	0
Jump Shot	2PT Field Goal	Mid-Range	19	-198	25	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	25	-8	251	0
Step Back Jump shot	2PT Field Goal	Mid-Range	19	93	168	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-161	212	1
Jump Shot	3PT Field Goal	Left Corner 3	22	-228	21	0
Jump Shot	3PT Field Goal	Above the Break 3	25	128	221	1
Jump Shot	2PT Field Goal	Mid-Range	14	85	121	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	-25	71	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-83	244	0
Jump Shot	3PT Field Goal	Above the Break 3	29	-174	232	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	20	5	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	16	16	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-125	235	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	28	-136	248	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	8	-2	86	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	16	18	1
Layup Shot	2PT Field Goal	Restricted Area	1	5	16	0
Putback Layup Shot	2PT Field Goal	Restricted Area	1	3	13	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	28	-50	279	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-84	236	0
Alley Oop Dunk Shot	2PT Field Goal	Restricted Area	2	27	10	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-131	226	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	27	-144	232	0
Driving Hook Shot	2PT Field Goal	In The Paint (Non-RA)	9	77	55	0
Step Back Jump shot	2PT Field Goal	Mid-Range	14	-106	105	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	15	-114	98	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	16	-5	1
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	8	13	85	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-149	213	0
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	3	14	0
Jump Shot	3PT Field Goal	Above the Break 3	26	179	190	1
Step Back Jump shot	2PT Field Goal	Mid-Range	17	72	163	0
Jump Shot	3PT Field Goal	Above the Break 3	26	166	203	1
Jump Shot	3PT Field Goal	Above the Break 3	24	-149	199	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	11	4	1
Running Dunk Shot	2PT Field Goal	Restricted Area	3	16	26	1
Jump Shot	2PT Field Goal	Mid-Range	20	96	186	1
Layup Shot	2PT Field Goal	Restricted Area	0	5	5	0
Jump Shot	3PT Field Goal	Above the Break 3	28	-87	267	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	-2	15	1
Turnaround Jump Shot	2PT Field Goal	In The Paint (Non-RA)	10	-38	99	1
Jump Shot	3PT Field Goal	Above the Break 3	25	107	226	1
Jump Shot	3PT Field Goal	Above the Break 3	25	42	256	0
Layup Shot	2PT Field Goal	Restricted Area	2	2	25	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-100	248	0
Jump Shot	3PT Field Goal	Above the Break 3	28	-143	247	0
Tip Dunk Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	135	232	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	10	105	13	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	15	-28	153	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	5	17	1
Layup Shot	2PT Field Goal	Restricted Area	1	14	12	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-11	16	1
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	6	-32	57	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-111	239	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	27	-139	238	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	27	-121	251	1
Driving Hook Shot	2PT Field Goal	Restricted Area	1	-5	17	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-43	267	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-80	248	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-3	14	1
Running Layup Shot	2PT Field Goal	Restricted Area	2	20	3	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	1	4	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	67	100	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	18	176	66	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-5	14	1
Jump Shot	3PT Field Goal	Above the Break 3	24	152	195	1
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	-34	41	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	-18	23	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-13	12	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-141	222	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	18	39	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-13	36	0
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	14	-79	121	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	1	-14	8	1
Driving Bank Hook Shot	2PT Field Goal	In The Paint (Non-RA)	6	69	2	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	38	257	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	20	119	161	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	8	24	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	21	-41	214	0
Jump Shot	3PT Field Goal	Above the Break 3	27	51	272	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	36	8	1
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-33	8	0
Step Back Jump shot	3PT Field Goal	Right Corner 3	23	232	48	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	-108	257	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	5	7	1
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	13	29	131	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	194	146	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	11	98	55	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	11	-117	15	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	62	243	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	109	218	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	9	-7	99	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-159	209	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	52	35	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	38	264	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	5	7	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	13	-8	131	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	6	12	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-11	7	1
Jump Shot	2PT Field Goal	Mid-Range	22	66	210	0
Jump Shot	3PT Field Goal	Above the Break 3	26	176	195	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	17	-92	151	1
Jump Shot	2PT Field Goal	Mid-Range	17	19	169	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	16	-169	-1	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	14	65	129	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	12	120	4	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	191	168	1
Step Back Jump shot	2PT Field Goal	Mid-Range	19	-119	158	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	20	107	180	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	19	-111	163	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	8	0	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	17	-85	148	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	15	-10	158	0
Jump Shot	2PT Field Goal	Mid-Range	22	-54	214	1
Jump Shot	3PT Field Goal	Above the Break 3	32	212	241	1
Driving Layup Shot	2PT Field Goal	Restricted Area	3	30	15	0
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Turnaround Jump Shot	2PT Field Goal	Mid-Range	17	-80	155	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-10	10	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	5	27	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	14	24	0
Jump Shot	3PT Field Goal	Above the Break 3	29	122	268	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	24	15	1
Layup Shot	2PT Field Goal	Restricted Area	0	-8	4	1
Jump Shot	2PT Field Goal	Mid-Range	20	-203	16	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	-10	6	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-126	228	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-13	-1	1
Jump Shot	3PT Field Goal	Above the Break 3	33	-169	291	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-6	0	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-225	102	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	-8	-1	1
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	11	-14	110	0
Jump Shot	3PT Field Goal	Above the Break 3	27	-142	238	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	217	120	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	54	110	1
Jump Shot	3PT Field Goal	Above the Break 3	25	130	214	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Jump Shot	2PT Field Goal	Mid-Range	20	27	201	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	18	17	0
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	3	71	0
Running Jump Shot	3PT Field Goal	Above the Break 3	26	-49	264	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	0	9	1
Layup Shot	2PT Field Goal	Restricted Area	1	14	14	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-189	169	1
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	7	0	72	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	6	7	64	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	13	15	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	7	9	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	22	5	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	27	29	276	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-156	205	0
Dunk Shot	2PT Field Goal	Restricted Area	1	-3	16	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-90	253	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	2	22	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	-11	-2	1
Layup Shot	2PT Field Goal	Restricted Area	2	11	24	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-8	17	0
Fadeaway Jump Shot	3PT Field Goal	Above the Break 3	26	-16	260	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	27	93	254	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-160	214	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-17	269	1
Running Dunk Shot	2PT Field Goal	Restricted Area	1	-8	17	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	26	44	260	0
Running Dunk Shot	2PT Field Goal	Restricted Area	2	-8	27	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	-94	223	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-13	15	0
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	-14	4	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	-112	252	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-113	221	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	23	19	1
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	-18	5	1
Jump Bank Shot	2PT Field Goal	In The Paint (Non-RA)	5	52	25	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	79	230	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	-2	10	1
Running Dunk Shot	2PT Field Goal	Restricted Area	0	2	6	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	11	-103	42	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-57	37	0
Turnaround Fadeaway Bank Jump Shot	2PT Field Goal	Mid-Range	10	90	58	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-92	233	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	4	22	39	0
Step Back Jump shot	2PT Field Goal	Mid-Range	18	186	-7	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	8	5	1
Jump Shot	3PT Field Goal	Above the Break 3	24	-71	235	0
Floating Jump shot	2PT Field Goal	Restricted Area	3	-29	26	1
Layup Shot	2PT Field Goal	Restricted Area	2	-14	24	1
Jump Shot	2PT Field Goal	Mid-Range	18	-158	105	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	11	84	82	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	16	117	119	0
