Country	Date	Residents
El Salvador	01/01/1991	430
El Salvador	01/01/1992	859
El Salvador	01/01/1993	941
El Salvador	01/01/1994	1035
El Salvador	01/01/1995	1127
El Salvador	01/01/1996	1163
El Salvador	01/01/1997	1278
El Salvador	01/01/1998	1501
El Salvador	01/01/1999	1568
El Salvador	01/01/2000	1751
El Salvador	01/01/2001	1926
El Salvador	01/01/2002	1933
El Salvador	01/01/2003	1796
El Salvador	01/01/2004	2273
El Salvador	01/01/2005	2497
El Salvador	01/01/2006	2556
El Salvador	01/01/2007	2553
El Salvador	01/01/2008	2562
El Salvador	01/01/2009	2739
El Salvador	01/01/2010	3133
El Salvador	01/01/2011	3720
El Salvador	01/01/2012	4268
El Salvador	01/01/2013	4503
El Salvador	01/01/2014	4694
El Salvador	01/01/2015	4771
France	01/01/1979	646
France	01/01/1980	663
France	01/01/1981	684
France	01/01/1982	696
France	01/01/1983	1685
France	01/01/1984	1673
France	01/01/1985	1667
France	01/01/1986	1676
France	01/01/1987	2098
France	01/01/1988	2195
France	01/01/1989	2284
France	01/01/1990	2353
France	01/01/1991	1419
France	01/01/1992	2563
France	01/01/1993	2725
France	01/01/1994	2919
France	01/01/1995	3136
France	01/01/1996	3179
France	01/01/1997	3350
France	01/01/1998	3776
France	01/01/1999	3905
France	01/01/2000	4156
France	01/01/2001	4554
France	01/01/2002	4527
France	01/01/2003	2518
France	01/01/2004	2625
France	01/01/2005	3059
France	01/01/2006	3223
France	01/01/2007	3332
France	01/01/2008	3485
France	01/01/2009	3763
France	01/01/2010	3868
France	01/01/2011	4031
France	01/01/2012	4238
France	01/01/2013	3847
France	01/01/2014	2925
France	01/01/2015	3083
Germany	01/01/1979	1292
Germany	01/01/1980	1284
Germany	01/01/1981	1281
Germany	01/01/1982	1264
Germany	01/01/1983	2232
Germany	01/01/1984	2176
Germany	01/01/1985	2097
Germany	01/01/1986	2071
Germany	01/01/1987	2151
Germany	01/01/1988	2164
Germany	01/01/1989	2210
Germany	01/01/1990	2228
Germany	01/01/1991	1278
Germany	01/01/1992	2229
Germany	01/01/1993	2210
Germany	01/01/1994	2241
Germany	01/01/1995	2259
Germany	01/01/1996	2255
Germany	01/01/1997	2332
Germany	01/01/1998	2533
Germany	01/01/1999	2524
Germany	01/01/2000	2553
Germany	01/01/2001	2672
Germany	01/01/2002	2529
Germany	01/01/2003	1611
Germany	01/01/2004	1702
Germany	01/01/2005	1831
Germany	01/01/2006	1903
Germany	01/01/2007	1932
Germany	01/01/2008	1955
Germany	01/01/2009	2042
Germany	01/01/2010	2057
Germany	01/01/2011	2109
Germany	01/01/2012	2120
Germany	01/01/2013	1939
Germany	01/01/2014	1541
Germany	01/01/2015	1580
Japan	01/01/1979	497
Japan	01/01/1980	558
Japan	01/01/1981	691
Japan	01/01/1982	771
Japan	01/01/1983	925
Japan	01/01/1984	967
Japan	01/01/1985	964
Japan	01/01/1986	959
Japan	01/01/1987	1133
Japan	01/01/1988	1283
Japan	01/01/1989	1390
Japan	01/01/1990	1506
Japan	01/01/1991	1255
Japan	01/01/1992	1760
Japan	01/01/1993	1888
Japan	01/01/1994	1974
Japan	01/01/1995	2054
Japan	01/01/1996	2078
Japan	01/01/1997	2223
Japan	01/01/1998	2337
Japan	01/01/1999	2376
Japan	01/01/2000	2383
Japan	01/01/2001	2582
Japan	01/01/2002	2602
Japan	01/01/2003	1507
Japan	01/01/2004	1592
Japan	01/01/2005	1790
Japan	01/01/2006	1857
Japan	01/01/2007	1919
Japan	01/01/2008	1967
Japan	01/01/2009	2088
Japan	01/01/2010	2135
Japan	01/01/2011	2206
Japan	01/01/2012	2344
Japan	01/01/2013	2305
Japan	01/01/2014	1599
Japan	01/01/2015	1669
Morocco	01/01/1979	116
Morocco	01/01/1980	123
Morocco	01/01/1981	131
Morocco	01/01/1982	146
Morocco	01/01/1983	193
Morocco	01/01/1984	218
Morocco	01/01/1985	230
Morocco	01/01/1986	229
Morocco	01/01/1987	421
Morocco	01/01/1988	526
Morocco	01/01/1989	556
Morocco	01/01/1990	1195
Morocco	01/01/1991	600
Morocco	01/01/1992	2791
Morocco	01/01/1993	3037
Morocco	01/01/1994	3230
Morocco	01/01/1995	3294
Morocco	01/01/1996	3612
Morocco	01/01/1997	4401
Morocco	01/01/1998	5253
Morocco	01/01/1999	5497
Morocco	01/01/2000	5849
Morocco	01/01/2001	6328
Morocco	01/01/2002	5948
Morocco	01/01/2003	4514
Morocco	01/01/2004	5309
Morocco	01/01/2005	6067
Morocco	01/01/2006	6450
Morocco	01/01/2007	6663
Morocco	01/01/2008	6749
Morocco	01/01/2009	7140
Morocco	01/01/2010	7618
Morocco	01/01/2011	8071
Morocco	01/01/2012	8720
Morocco	01/01/2013	8808
Morocco	01/01/2014	8335
Morocco	01/01/2015	8296
Others	01/01/1979	16720
Others	01/01/1980	17263
Others	01/01/1981	18562
Others	01/01/1982	19381
Others	01/01/1983	16427
Others	01/01/1984	16104
Others	01/01/1985	16108
Others	01/01/1986	16022
Others	01/01/1987	17226
Others	01/01/1988	18051
Others	01/01/1989	18413
Others	01/01/1990	19649
Others	01/01/1991	12503
Others	01/01/1992	15465
Others	01/01/1993	25050
Others	01/01/1994	26270
Others	01/01/1995	27389
Others	01/01/1996	27782
Others	01/01/1997	29529
Others	01/01/1998	33417
Others	01/01/1999	34576
Others	01/01/2000	37238
Others	01/01/2001	40690
Others	01/01/2002	39915
Others	01/01/2003	26390
Others	01/01/2004	31820
Others	01/01/2005	36428
Others	01/01/2006	38110
Others	01/01/2007	39069
Others	01/01/2008	39850
Others	01/01/2009	43643
Others	01/01/2010	47460
Others	01/01/2011	51355
Others	01/01/2012	57581
Others	01/01/2013	57399
Others	01/01/2014	52570
Others	01/01/2015	54347
Peru	01/01/1979	16
Peru	01/01/1980	20
Peru	01/01/1981	23
Peru	01/01/1982	30
Peru	01/01/1983	80
Peru	01/01/1984	76
Peru	01/01/1985	80
Peru	01/01/1986	86
Peru	01/01/1987	125
Peru	01/01/1988	162
Peru	01/01/1989	176
Peru	01/01/1990	361
Peru	01/01/1991	584
Peru	01/01/1992	716
Peru	01/01/1993	961
Peru	01/01/1994	1110
Peru	01/01/1995	1357
Peru	01/01/1996	1838
Peru	01/01/1997	3425
Peru	01/01/1998	5820
Peru	01/01/1999	6655
Peru	01/01/2000	7965
Peru	01/01/2001	9036
Peru	01/01/2002	9381
Peru	01/01/2003	9051
Peru	01/01/2004	12638
Peru	01/01/2005	13784
Peru	01/01/2006	14204
Peru	01/01/2007	14070
Peru	01/01/2008	14103
Peru	01/01/2009	15586
Peru	01/01/2010	17672
Peru	01/01/2011	19655
Peru	01/01/2012	21142
Peru	01/01/2013	21171
Peru	01/01/2014	20462
Peru	01/01/2015	19929
Philippines	01/01/1979	16
Philippines	01/01/1980	25
Philippines	01/01/1981	125
Philippines	01/01/1982	203
Philippines	01/01/1983	284
Philippines	01/01/1984	434
Philippines	01/01/1985	519
Philippines	01/01/1986	589
Philippines	01/01/1987	985
Philippines	01/01/1988	1317
Philippines	01/01/1989	1551
Philippines	01/01/1990	2086
Philippines	01/01/1991	2474
Philippines	01/01/1992	4524
Philippines	01/01/1993	5388
Philippines	01/01/1994	5907
Philippines	01/01/1995	6505
Philippines	01/01/1996	7550
Philippines	01/01/1997	10715
Philippines	01/01/1998	14967
Philippines	01/01/1999	16472
Philippines	01/01/2000	18685
Philippines	01/01/2001	20456
Philippines	01/01/2002	21213
Philippines	01/01/2003	19725
Philippines	01/01/2004	24081
Philippines	01/01/2005	26645
Philippines	01/01/2006	27586
Philippines	01/01/2007	28031
Philippines	01/01/2008	28749
Philippines	01/01/2009	31123
Philippines	01/01/2010	33745
Philippines	01/01/2011	37002
Philippines	01/01/2012	39858
Philippines	01/01/2013	40759
Philippines	01/01/2014	41237
Philippines	01/01/2015	41549
Romania	01/01/1979	214
Romania	01/01/1980	234
Romania	01/01/1981	282
Romania	01/01/1982	302
Romania	01/01/1983	334
Romania	01/01/1984	350
Romania	01/01/1985	363
Romania	01/01/1986	348
Romania	01/01/1987	189
Romania	01/01/1988	199
Romania	01/01/1989	193
Romania	01/01/1990	218
Romania	01/01/1991	150
Romania	01/01/1992	0
Romania	01/01/1993	442
Romania	01/01/1994	484
Romania	01/01/1995	541
Romania	01/01/1996	592
Romania	01/01/1997	734
Romania	01/01/1998	1018
Romania	01/01/1999	1204
Romania	01/01/2000	1752
Romania	01/01/2001	2260
Romania	01/01/2002	2493
Romania	01/01/2003	2627
Romania	01/01/2004	4621
Romania	01/01/2005	5536
Romania	01/01/2006	5951
Romania	01/01/2007	7908
Romania	01/01/2008	9619
Romania	01/01/2009	11244
Romania	01/01/2010	12154
Romania	01/01/2011	12701
Romania	01/01/2012	14409
Romania	01/01/2013	14507
Romania	01/01/2014	14207
Romania	01/01/2015	14798
Sri Lanka	01/01/1979	12
Sri Lanka	01/01/1980	22
Sri Lanka	01/01/1981	42
Sri Lanka	01/01/1982	76
Sri Lanka	01/01/1983	96
Sri Lanka	01/01/1984	142
Sri Lanka	01/01/1985	175
Sri Lanka	01/01/1986	209
Sri Lanka	01/01/1987	308
Sri Lanka	01/01/1988	377
Sri Lanka	01/01/1989	455
Sri Lanka	01/01/1990	635
Sri Lanka	01/01/1991	686
Sri Lanka	01/01/1992	1224
Sri Lanka	01/01/1993	1585
Sri Lanka	01/01/1994	1940
Sri Lanka	01/01/1995	2362
Sri Lanka	01/01/1996	2676
Sri Lanka	01/01/1997	3457
Sri Lanka	01/01/1998	4624
Sri Lanka	01/01/1999	5195
Sri Lanka	01/01/2000	6118
Sri Lanka	01/01/2001	7219
Sri Lanka	01/01/2002	7860
Sri Lanka	01/01/2003	7138
Sri Lanka	01/01/2004	8701
Sri Lanka	01/01/2005	9872
Sri Lanka	01/01/2006	10318
Sri Lanka	01/01/2007	10600
Sri Lanka	01/01/2008	11087
Sri Lanka	01/01/2009	12348
Sri Lanka	01/01/2010	13340
Sri Lanka	01/01/2011	14512
Sri Lanka	01/01/2012	16125
Sri Lanka	01/01/2013	16467
Sri Lanka	01/01/2014	15897
Sri Lanka	01/01/2015	16355
Ucraine	01/01/1979	0
Ucraine	01/01/1980	0
Ucraine	01/01/1981	0
Ucraine	01/01/1982	0
Ucraine	01/01/1983	0
Ucraine	01/01/1984	0
Ucraine	01/01/1985	0
Ucraine	01/01/1986	0
Ucraine	01/01/1987	0
Ucraine	01/01/1988	0
Ucraine	01/01/1989	0
Ucraine	01/01/1990	0
Ucraine	01/01/1991	0
Ucraine	01/01/1992	0
Ucraine	01/01/1993	0
Ucraine	01/01/1994	0
Ucraine	01/01/1995	2
Ucraine	01/01/1996	3
Ucraine	01/01/1997	20
Ucraine	01/01/1998	46
Ucraine	01/01/1999	68
Ucraine	01/01/2000	132
Ucraine	01/01/2001	241
Ucraine	01/01/2002	309
Ucraine	01/01/2003	567
Ucraine	01/01/2004	2092
Ucraine	01/01/2005	2955
Ucraine	01/01/2006	3492
Ucraine	01/01/2007	3631
Ucraine	01/01/2008	3918
Ucraine	01/01/2009	4788
Ucraine	01/01/2010	5728
Ucraine	01/01/2011	6913
Ucraine	01/01/2012	7820
Ucraine	01/01/2013	7951
Ucraine	01/01/2014	7966
Ucraine	01/01/2015	8343
United Kingdom	01/01/1979	893
United Kingdom	01/01/1980	934
United Kingdom	01/01/1981	996
United Kingdom	01/01/1982	1026
United Kingdom	01/01/1983	1822
United Kingdom	01/01/1984	1810
United Kingdom	01/01/1985	1808
United Kingdom	01/01/1986	1817
United Kingdom	01/01/1987	2132
United Kingdom	01/01/1988	2244
United Kingdom	01/01/1989	2284
United Kingdom	01/01/1990	2359
United Kingdom	01/01/1991	1077
United Kingdom	01/01/1992	2572
United Kingdom	01/01/1993	2655
United Kingdom	01/01/1994	2707
United Kingdom	01/01/1995	2710
United Kingdom	01/01/1996	2670
United Kingdom	01/01/1997	2761
United Kingdom	01/01/1998	2937
United Kingdom	01/01/1999	3007
United Kingdom	01/01/2000	3039
United Kingdom	01/01/2001	3240
United Kingdom	01/01/2002	3093
United Kingdom	01/01/2003	1500
United Kingdom	01/01/2004	1563
United Kingdom	01/01/2005	1702
United Kingdom	01/01/2006	1750
United Kingdom	01/01/2007	1781
United Kingdom	01/01/2008	1810
United Kingdom	01/01/2009	1933
United Kingdom	01/01/2010	1960
United Kingdom	01/01/2011	2056
United Kingdom	01/01/2012	2136
United Kingdom	01/01/2013	1953
United Kingdom	01/01/2014	1490
United Kingdom	01/01/2015	1553
