Category	Format	Year	year-date	Units	Revenues in millions	Revenues in millions (Adjusted for inflation)
Disc	CD Single	2006	2006-01-01	1.7	7.7	9.764677083
Disc	CD Single	2007	2007-01-01	2.6	12.2	15.04590159
Disc	CD Single	2008	2008-01-01	0.7	3.5	4.156001078
Disc	CD Single	2009	2009-01-01	0.9	3.1	3.694172567
Disc	CD Single	2010	2010-01-01	1	2.9	3.400068331
Disc	CD Single	2011	2011-01-01	1.3	3.5	3.977965137
Disc	CD Single	2012	2012-01-01	1.072870407	3.225092945	3.59119832
Disc	CD Single	2013	2013-01-01	0.628895398	2.445737226	2.684056894
Disc	CD Single	2014	2014-01-01	0.928725116	3.616015547	3.905023683
Disc	CD Single	2015	2015-01-01	0.386721563	1.19694661	1.291079457
Disc	CD Single	2016	2016-01-01	0.121745255	0.263199082	0.280361354
Disc	CD Single	2017	2017-01-01	0.13261663	1.478694184	1.542258972
Disc	CD Single	2018	2018-01-01	0.020854078	0.15516984	0.157981482
Disc	CD Single	2019	2019-01-01	0.026257455	0.181678878	0.181678878
Download	Download Album	2004	2004-01-01	4.6	45.5	61.57963737
Download	Download Album	2005	2005-01-01	13.6	135.7	177.6377619
Download	Download Album	2006	2006-01-01	27.6	275.9	349.8797932
Download	Download Album	2007	2007-01-01	49.8	497.4	613.4288075
Download	Download Album	2008	2008-01-01	63.6	635.3	754.373567
Download	Download Album	2009	2009-01-01	74.5	744.3	886.9589166
Download	Download Album	2010	2010-01-01	85.8	872.4	1022.834349
Download	Download Album	2011	2011-01-01	103.9	1070.8	1217.03002
Download	Download Album	2012	2012-01-01	116.7336318	1204.822243	1341.590983
Download	Download Album	2013	2013-01-01	117.979213	1232.139716	1352.202953
Download	Download Album	2014	2014-01-01	114.2304708	1117.900009	1207.247578
Download	Download Album	2015	2015-01-01	106.7838841	1064.433607	1148.145081
Download	Download Album	2016	2016-01-01	85.12334989	868.5942684	925.232201
Download	Download Album	2017	2017-01-01	66.38610376	668.5007059	697.2376182
Download	Download Album	2018	2018-01-01	49.73492454	499.6508324	508.7043884
Download	Download Album	2019	2019-01-01	40.20271234	394.5330062	394.5330062
Download	Download Music Video	2005	2005-01-01	1.9	3.7	4.84347619
Download	Download Music Video	2006	2006-01-01	9.9	19.7	24.98235566
Download	Download Music Video	2007	2007-01-01	14.2	28.2	34.77823155
Download	Download Music Video	2008	2008-01-01	20.8	41.3	49.04081272
Download	Download Music Video	2009	2009-01-01	20.5	40.9	48.73924451
Download	Download Music Video	2010	2010-01-01	18.4	36.6	42.91120721
Download	Download Music Video	2011	2011-01-01	16.3	32.4	36.82459156
Download	Download Music Video	2012	2012-01-01	10.473489	20.842242	23.20820694
Download	Download Music Video	2013	2013-01-01	8.412464	16.740803	18.37207499
Download	Download Music Video	2014	2014-01-01	6.82264392	13.577058	14.6621972
Download	Download Music Video	2015	2015-01-01	3.223325002	6.414419	6.918875516
Download	Download Music Video	2016	2016-01-01	2.145427196	4.26940012	4.547792467
Download	Download Music Video	2017	2017-01-01	1.399889693	2.785780489	2.905533136
Download	Download Music Video	2018	2018-01-01	1.115985226	2.2208106	2.261051168
Download	Download Music Video	2019	2019-01-01	0.93412583	1.858910402	1.858910402
Download	Download Single	2004	2004-01-01	139.4	138	186.7690101
Download	Download Single	2005	2005-01-01	366.9	363.3	475.577
Download	Download Single	2006	2006-01-01	586.4	580.6	736.2820149
Download	Download Single	2007	2007-01-01	819.4	811	1000.182475
Download	Download Single	2008	2008-01-01	1042.7	1032.2	1225.664089
Download	Download Single	2009	2009-01-01	1124.4	1172	1396.635564
Download	Download Single	2010	2010-01-01	1177.4	1336.4	1566.845282
Download	Download Single	2011	2011-01-01	1332.3	1522.4	1730.301179
Download	Download Single	2012	2012-01-01	1402.739373	1644.570645	1831.258646
Download	Download Single	2013	2013-01-01	1332.795366	1573.420534	1726.739156
Download	Download Single	2014	2014-01-01	1154.379327	1355.331251	1463.655387
Download	Download Single	2015	2015-01-01	986.2550359	1185.237595	1278.449595
Download	Download Single	2016	2016-01-01	743.0034138	900.1814811	958.8791031
Download	Download Single	2017	2017-01-01	553.5161518	678.5248883	707.6927112
Download	Download Single	2018	2018-01-01	399.7738523	490.4304887	499.3169742
Download	Download Single	2019	2019-01-01	335.3391935	414.804251	414.804251
Other	DVD Audio	2001	2001-01-01	0.263	6	8.661445511
Other	DVD Audio	2002	2002-01-01	0.43	8.5	12.07940245
Other	DVD Audio	2003	2003-01-01	0.4	8	11.11552174
Other	DVD Audio	2004	2004-01-01	0.3	6.5	8.797091053
Other	DVD Audio	2005	2005-01-01	0.5	11.2	14.66133333
Other	DVD Audio	2006	2006-01-01	0.1	2.4	3.043535714
Other	DVD Audio	2007	2007-01-01	0.2	2.8	3.453157742
Other	DVD Audio	2008	2008-01-01	0.04	1.2	1.424914655
Other	DVD Audio	2009	2009-01-01	0.1	1.6	1.906669712
Other	DVD Audio	2010	2010-01-01	0.04	0.9	1.05519362
Other	DVD Audio	2011	2011-01-01	0.01	0.3	0.34096844
Other	DVD Audio	2012	2012-01-01	0.008533145	0.183106992	0.20389289
Other	DVD Audio	2014	2014-01-01	0.066542722	2.139460944	2.310456232
Other	DVD Audio	2015	2015-01-01	0.179506738	5.416232673	5.842187676
Other	DVD Audio	2016	2016-01-01	0.085898932	2.83553587	3.020431045
Other	DVD Audio	2017	2017-01-01	0.061332251	2.606840648	2.718901189
Other	DVD Audio	2018	2018-01-01	0.092803246	3.317383752	3.377493968
Other	DVD Audio	2019	2019-01-01	0.027982262	1.067303184	1.067303184
Other	Kiosk	2005	2005-01-01	0.7	1	1.309047619
Other	Kiosk	2006	2006-01-01	1.4	1.9	2.409465774
Other	Kiosk	2007	2007-01-01	1.8	2.6	3.206503618
Other	Kiosk	2008	2008-01-01	1.6	2.6	3.087315086
Other	Kiosk	2009	2009-01-01	1.7	6.3	7.507511991
Other	Kiosk	2010	2010-01-01	1.7	6.4	7.503599075
Other	Kiosk	2011	2011-01-01	1.3	2.7	3.068715963
Other	Kiosk	2012	2012-01-01	1.95507	3.654065	4.068866328
Other	Kiosk	2013	2013-01-01	3.7442	6.183604	6.786152156
Other	Kiosk	2014	2014-01-01	1.592073358	2.582636	2.789051821
Other	Kiosk	2015	2015-01-01	2.202659889	3.700455	3.99147413
Other	Kiosk	2016	2016-01-01	1.74878121	2.943916801	3.13587911
Other	Kiosk	2017	2017-01-01	1.322377717	2.25474315	2.351668038
Other	Kiosk	2018	2018-01-01	1.097856529	1.965045799	2.000651969
Other	Kiosk	2019	2019-01-01	0.899703865	1.586470587	1.586470587
Streaming	Limited Tier Paid Subscription	2016	2016-01-01		263.3636852	280.5366913
Streaming	Limited Tier Paid Subscription	2017	2017-01-01		591.6010975	617.032318
Streaming	Limited Tier Paid Subscription	2018	2018-01-01		747.0549062	760.591366
Streaming	Limited Tier Paid Subscription	2019	2019-01-01		829.4987397	829.4987397
Vinyl	LP/EP	1973	1973-01-01	280	1246	7174.518514
Vinyl	LP/EP	1974	1974-01-01	276	1356	7031.863935
Vinyl	LP/EP	1975	1975-01-01	257	1485	7056.703439
Vinyl	LP/EP	1976	1976-01-01	273	1663	7472.013902
Vinyl	LP/EP	1977	1977-01-01	344	2195.1	9260.605292
Vinyl	LP/EP	1978	1978-01-01	341.3	2473.3	9698.105186
Vinyl	LP/EP	1979	1979-01-01	290	2057	7243.615
Vinyl	LP/EP	1980	1980-01-01	308	2200	6825.793689
Vinyl	LP/EP	1981	1981-01-01	295.2	2341.7	6586.050571
Vinyl	LP/EP	1982	1982-01-01	243.9	1925.1	5100.158453
Vinyl	LP/EP	1983	1983-01-01	209.6	1689	4335.388283
Vinyl	LP/EP	1984	1984-01-01	204.6	1548.8	3810.987118
Vinyl	LP/EP	1985	1985-01-01	167	1280.5	3042.46086
Vinyl	LP/EP	1986	1986-01-01	125.2	983	2292.982035
Vinyl	LP/EP	1987	1987-01-01	107	793.1	1784.872946
Vinyl	LP/EP	1988	1988-01-01	72.4	532.2	1150.132336
Vinyl	LP/EP	1989	1989-01-01	34.6	220.3	454.203525
Vinyl	LP/EP	1990	1990-01-01	11.7	86.5	169.1991622
Vinyl	LP/EP	1991	1991-01-01	4.8	29.4	55.18587225
Vinyl	LP/EP	1992	1992-01-01	2.3	13.5	24.59992516
Vinyl	LP/EP	1993	1993-01-01	1.2	10.6	18.75407751
Vinyl	LP/EP	1994	1994-01-01	1.9	17.8	30.7064413
Vinyl	LP/EP	1995	1995-01-01	2.2	25.1	42.10623819
Vinyl	LP/EP	1996	1996-01-01	2.9	36.8	59.96289101
Vinyl	LP/EP	1997	1997-01-01	2.7	33.3	53.04285421
Vinyl	LP/EP	1998	1998-01-01	3.4	34	53.32722699
Vinyl	LP/EP	1999	1999-01-01	2.9	31.8	48.79887515
Vinyl	LP/EP	2000	2000-01-01	2.2	27.7	41.12484843
Vinyl	LP/EP	2001	2001-01-01	2.3	27.4	39.5539345
Vinyl	LP/EP	2002	2002-01-01	1.743	20.5	29.13267649
Vinyl	LP/EP	2003	2003-01-01	1.5	21.7	30.15085272
Vinyl	LP/EP	2004	2004-01-01	1.4	19.3	26.12059344
Vinyl	LP/EP	2005	2005-01-01	1	14.2	18.58847619
Vinyl	LP/EP	2006	2006-01-01	0.9	15.7	19.90979613
Vinyl	LP/EP	2007	2007-01-01	1.3	22.9	28.24189725
Vinyl	LP/EP	2008	2008-01-01	2.9	56.7	67.32721746
Vinyl	LP/EP	2009	2009-01-01	3.5	63.8	76.02845477
Vinyl	LP/EP	2010	2010-01-01	4.2	88.9	104.2296809
Vinyl	LP/EP	2011	2011-01-01	5.5	119.4	135.7054393
Vinyl	LP/EP	2012	2012-01-01	6.915365189	160.7230583	178.9679822
Vinyl	LP/EP	2013	2013-01-01	9.35128587	210.739051	231.2740702
Vinyl	LP/EP	2014	2014-01-01	10.31556391	243.8468483	263.3361791
Vinyl	LP/EP	2015	2015-01-01	13.68102972	333.3797931	359.5981629
Vinyl	LP/EP	2016	2016-01-01	14.77088603	355.430891	378.607271
Vinyl	LP/EP	2017	2017-01-01	15.55608917	388.5111082	405.2120773
Vinyl	LP/EP	2018	2018-01-01	16.67012733	419.223947	426.8201866
Vinyl	LP/EP	2019	2019-01-01	19.10316283	497.5889208	497.5889208
Other	Music Video (Physical)	1989	1989-01-01	6.1	115.4	237.92595
Other	Music Video (Physical)	1990	1990-01-01	9.2	172.3	337.0290826
Other	Music Video (Physical)	1991	1991-01-01	6.1	118.1	221.6820242
Other	Music Video (Physical)	1992	1992-01-01	7.6	157.4	286.8169052
Other	Music Video (Physical)	1993	1993-01-01	11	213.3	377.3815785
Other	Music Video (Physical)	1994	1994-01-01	11.2	231.1	398.6662126
Other	Music Video (Physical)	1995	1995-01-01	12.6	220.3	369.5619232
Other	Music Video (Physical)	1996	1996-01-01	16.9	236.1	384.7075698
Other	Music Video (Physical)	1997	1997-01-01	18.6	323.9	515.9333477
Other	Music Video (Physical)	1998	1998-01-01	27.2	508	796.7715092
Other	Music Video (Physical)	1999	1999-01-01	19.8	376.7	578.0671783
Other	Music Video (Physical)	2000	2000-01-01	18.2	281.9	418.523277
Other	Music Video (Physical)	2001	2001-01-01	17.7	329.2	475.2246437
Other	Music Video (Physical)	2002	2002-01-01	14.7	288.4	409.8470195
Other	Music Video (Physical)	2003	2003-01-01	19.9	399.9	555.6371429
Other	Music Video (Physical)	2004	2004-01-01	32.8	607.2	821.7836443
Other	Music Video (Physical)	2005	2005-01-01	33.8	602.2	788.3084762
Other	Music Video (Physical)	2006	2006-01-01	23.2	451.1	572.0579003
Other	Music Video (Physical)	2007	2007-01-01	27.5	484.9	598.0129247
Other	Music Video (Physical)	2008	2008-01-01	13.2	227.3	269.9025843
Other	Music Video (Physical)	2009	2009-01-01	11.6	209.6	249.7737323
Other	Music Video (Physical)	2010	2010-01-01	9.1	177.6	208.2248743
Other	Music Video (Physical)	2011	2011-01-01	7.7	151	171.6207816
Other	Music Video (Physical)	2012	2012-01-01	6.032725467	116.6136546	129.8513772
Other	Music Video (Physical)	2013	2013-01-01	4.814626524	106.2831378	116.6396724
Other	Music Video (Physical)	2014	2014-01-01	4.065323601	89.70557988	96.87525106
Other	Music Video (Physical)	2015	2015-01-01	3.133228006	70.43436396	75.97361449
Other	Music Video (Physical)	2016	2016-01-01	2.495531725	56.92290281	60.63464218
Other	Music Video (Physical)	2017	2017-01-01	1.87712837	38.619447	40.27958535
Other	Music Video (Physical)	2018	2018-01-01	1.395058021	27.5612603	28.06066388
Other	Music Video (Physical)	2019	2019-01-01	1.32294236	27.70524678	27.70524678
Streaming	On-Demand Streaming (Ad-Supported)	2011	2011-01-01		113.8	129.340695
Streaming	On-Demand Streaming (Ad-Supported)	2012	2012-01-01		170.9354084	190.3396156
Streaming	On-Demand Streaming (Ad-Supported)	2013	2013-01-01		220.8735445	242.3960978
Streaming	On-Demand Streaming (Ad-Supported)	2014	2014-01-01		283.7934094	306.475448
Streaming	On-Demand Streaming (Ad-Supported)	2015	2015-01-01		371.9903964	401.2452641
Streaming	On-Demand Streaming (Ad-Supported)	2016	2016-01-01		489.3776076	521.288175
Streaming	On-Demand Streaming (Ad-Supported)	2017	2017-01-01		658.6064926	686.9180813
Streaming	On-Demand Streaming (Ad-Supported)	2018	2018-01-01		759.5323682	773.2949167
Streaming	On-Demand Streaming (Ad-Supported)	2019	2019-01-01		908.1493305	908.1493305
Streaming	Other Ad-Supported Streaming	2016	2016-01-01		81.26086562	86.55959668
Streaming	Other Ad-Supported Streaming	2017	2017-01-01		261.786859	273.040319
Streaming	Other Ad-Supported Streaming	2018	2018-01-01		251.4119188	255.9674439
Streaming	Other Ad-Supported Streaming	2019	2019-01-01		251.0647101	251.0647101
Download	Other Digital	2016	2016-01-01		17.14166287	18.25940954
Download	Other Digital	2017	2017-01-01		16.88510987	17.61095192
Download	Other Digital	2018	2018-01-01		19.83957487	20.19906331
Download	Other Digital	2019	2019-01-01		21.51717501	21.51717501
Tape	Other Tapes	1973	1973-01-01	2.2	15.6	89.82543243
Tape	Other Tapes	1974	1974-01-01	1.9	13.3	68.97034686
Tape	Other Tapes	1975	1975-01-01	1.5	10.2	48.47028625
Tape	Other Tapes	1976	1976-01-01	0.7	5.1	22.91477504
Streaming	Paid Subscription	2005	2005-01-01		149.2	195.3099048
Streaming	Paid Subscription	2006	2006-01-01		206.2	261.4904435
Streaming	Paid Subscription	2007	2007-01-01		234	288.5853256
Streaming	Paid Subscription	2008	2008-01-01		221.4	262.8967539
Streaming	Paid Subscription	2009	2009-01-01		206.2	245.7220591
Streaming	Paid Subscription	2010	2010-01-01		212.4	249.0256943
Streaming	Paid Subscription	2011	2011-01-01		247.8	281.6399317
Streaming	Paid Subscription	2012	2012-01-01		399.8825311	445.2763062
Streaming	Paid Subscription	2013	2013-01-01		643.3242888	706.0116575
Streaming	Paid Subscription	2014	2014-01-01		770.2705591	831.8340275
Streaming	Paid Subscription	2015	2015-01-01		1156.708514	1247.676869
Streaming	Paid Subscription	2016	2016-01-01		2244.154254	2390.487545
Streaming	Paid Subscription	2017	2017-01-01		3500.549813	3651.028327
Streaming	Paid Subscription	2018	2018-01-01		4655.968522	4740.333581
Streaming	Paid Subscription	2019	2019-01-01		5934.397625	5934.397625
Download	Ringtones & Ringbacks	2005	2005-01-01	170	421.6	551.8944762
Download	Ringtones & Ringbacks	2006	2006-01-01	315	773.8	981.2866399
Download	Ringtones & Ringbacks	2007	2007-01-01	433.8	1055.8	1302.087123
Download	Ringtones & Ringbacks	2008	2008-01-01	405.1	977.1	1160.236758
Download	Ringtones & Ringbacks	2009	2009-01-01	294.3	702.8	837.504671
Download	Ringtones & Ringbacks	2010	2010-01-01	188.5	448	525.2519353
Download	Ringtones & Ringbacks	2011	2011-01-01	115.4	276.2	313.9182774
Download	Ringtones & Ringbacks	2012	2012-01-01	58.75740356	145.9929351	162.5657282
Download	Ringtones & Ringbacks	2013	2013-01-01	39.36623578	97.99961233	107.5489764
Download	Ringtones & Ringbacks	2014	2014-01-01	26.63232368	66.31137067	71.61127201
Download	Ringtones & Ringbacks	2015	2015-01-01	21.92486605	54.58202422	58.87458101
Download	Ringtones & Ringbacks	2016	2016-01-01	22.62078539	56.32529913	59.99807088
Download	Ringtones & Ringbacks	2017	2017-01-01	14.26286994	35.51373565	37.04036846
Download	Ringtones & Ringbacks	2018	2018-01-01	10.02628673	24.9578598	25.41009037
Download	Ringtones & Ringbacks	2019	2019-01-01	8.605769716	21.4267369	21.4267369
Disc	SACD	2003	2003-01-01	1.3	26.3	36.54227772
Disc	SACD	2004	2004-01-01	0.8	16.6	22.46641715
Disc	SACD	2005	2005-01-01	0.5	10	13.09047619
Disc	SACD	2006	2006-01-01	0.3	5.5	6.974769345
Disc	SACD	2007	2007-01-01	0.2	3.6	4.43977424
Disc	SACD	2008	2008-01-01	0.1	3.1	3.681029526
Disc	SACD	2009	2009-01-01	0.1	2.4	2.860004568
Disc	SACD	2010	2010-01-01	0.1	1.7	1.993143504
Disc	SACD	2011	2011-01-01	0.1	1.5	1.704842202
Disc	SACD	2012	2012-01-01	0.065446	1.3425	1.494897613
Disc	SACD	2013	2013-01-01	0.044683	0.9783826	1.073719014
Disc	SACD	2014	2014-01-01	0.030486	0.76344539	0.82446336
Disc	SACD	2015	2015-01-01	0.041633	1.04346656	1.125529098
Disc	SACD	2016	2016-01-01	0.045272	1.20686148	1.28555661
Disc	SACD	2017	2017-01-01	0.032749	0.85057856	0.887142473
Disc	SACD	2018	2018-01-01	0.032804	0.85969971	0.875277267
Disc	SACD	2019	2019-01-01	0.017654	0.433302292	0.433302292
Streaming	SoundExchange Distributions	2004	2004-01-01		6.9	9.338450503
Streaming	SoundExchange Distributions	2005	2005-01-01		20.4	26.70457143
Streaming	SoundExchange Distributions	2006	2006-01-01		32.8	41.5949881
Streaming	SoundExchange Distributions	2007	2007-01-01		36.2	44.64439653
Streaming	SoundExchange Distributions	2008	2008-01-01		100	118.7428879
Streaming	SoundExchange Distributions	2009	2009-01-01		155.5	185.3044626
Streaming	SoundExchange Distributions	2010	2010-01-01		249.2	292.171389
Streaming	SoundExchange Distributions	2011	2011-01-01		292	331.8759486
Streaming	SoundExchange Distributions	2012	2012-01-01		462	514.445212
Streaming	SoundExchange Distributions	2013	2013-01-01		590.4	647.9302738
Streaming	SoundExchange Distributions	2014	2014-01-01		773.4	835.2135873
Streaming	SoundExchange Distributions	2015	2015-01-01		802.6	865.7197931
Streaming	SoundExchange Distributions	2016	2016-01-01		883.9	941.5359648
Streaming	SoundExchange Distributions	2017	2017-01-01		652	680.0275946
Streaming	SoundExchange Distributions	2018	2018-01-01		952.8	970.0645127
Streaming	SoundExchange Distributions	2019	2019-01-01		908.2	908.2
Other	Synchronization	2009	2009-01-01		201.2	239.7637163
Other	Synchronization	2010	2010-01-01		188.7	221.238929
Other	Synchronization	2011	2011-01-01		196.5	223.3343284
Other	Synchronization	2012	2012-01-01		190.597753	212.2339858
Other	Synchronization	2013	2013-01-01		189.679434	208.1623435
Other	Synchronization	2014	2014-01-01		189.713099	204.8758184
Other	Synchronization	2015	2015-01-01		202.934888	218.8945293
Other	Synchronization	2016	2016-01-01		214.8389765	228.8478595
Other	Synchronization	2017	2017-01-01		232.0865229	242.0632514
Other	Synchronization	2018	2018-01-01		285.5134913	290.6869289
Other	Synchronization	2019	2019-01-01		276.2623602	276.2623602
Vinyl	Vinyl Single	1973	1973-01-01	228	190	1094.027703
Vinyl	Vinyl Single	1974	1974-01-01	204	194	1006.033631
Vinyl	Vinyl Single	1975	1975-01-01	164	211.5	1005.045641
Vinyl	Vinyl Single	1976	1976-01-01	190	245.1	1101.25713
Vinyl	Vinyl Single	1977	1977-01-01	190	245.1	1034.018658
Vinyl	Vinyl Single	1978	1978-01-01	190	260.3	1020.66744
Vinyl	Vinyl Single	1979	1979-01-01	212	353.6	1245.183405
Vinyl	Vinyl Single	1980	1980-01-01	157	250	775.6583738
Vinyl	Vinyl Single	1981	1981-01-01	154.7	256.4	721.1271155
Vinyl	Vinyl Single	1982	1982-01-01	137.2	283	749.7505803
Vinyl	Vinyl Single	1983	1983-01-01	124.8	269.3	691.2492982
Vinyl	Vinyl Single	1984	1984-01-01	131.5	298.7	734.9831174
