Occupation	Mean wage	category
Appraisers and Assessors of Real Estate	66560	Business and Financial Operations
Budget Analysts	81750	Business and Financial Operations
Credit Analysts	125700	Business and Financial Operations
Personal Financial Advisors	169810	Business and Financial Operations
Insurance Underwriters	100550	Business and Financial Operations
Financial Examiners	123030	Business and Financial Operations
Credit Counselors	64660	Business and Financial Operations
Loan Officers	104910	Business and Financial Operations
Tax Examiners and Collectors, and Revenue Agents	72350	Business and Financial Operations
Tax Preparers	66770	Business and Financial Operations
Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other	134690	Business and Financial Operations
Computer and Mathematical	102210	Computer and Mathematical
Computer Systems Analysts	112260	Computer and Mathematical
Information Security Analysts	124360	Computer and Mathematical
Computer and Information Research Scientists	140770	Computer and Mathematical
Computer Network Support Specialists	79450	Computer and Mathematical
Computer User Support Specialists	62730	Computer and Mathematical
Computer Network Architects	125390	Computer and Mathematical
Network and Computer Systems Administrators	99920	Computer and Mathematical
Database Administrators and Architects	105380	Computer and Mathematical
Computer Programmers	94530	Computer and Mathematical
Software Developers and Software Quality Assurance Analysts and Testers	122130	Computer and Mathematical
Web Developers and Digital Interface Designers	84690	Computer and Mathematical
Computer, All Other	79940	Computer and Mathematical
Actuaries	156200	Computer and Mathematical
Mathematicians	121760	Computer and Mathematical
Operations Research Analysts	107140	Computer and Mathematical
Statisticians	97450	Computer and Mathematical
Data Scientists and Mathematical Science, All Other	127860	Computer and Mathematical
Architecture and Engineering	92420	Architecture and Engineering
Architects, Except Landscape and Naval	109200	Architecture and Engineering
Landscape Architects	82020	Architecture and Engineering
Cartographers and Photogrammetrists	85610	Architecture and Engineering
Surveyors	84830	Architecture and Engineering
Aerospace Engineers	122700	Architecture and Engineering
Agricultural Engineers	122760	Architecture and Engineering
Biomedical Engineers	103430	Architecture and Engineering
Chemical Engineers	106450	Architecture and Engineering
Civil Engineers	105020	Architecture and Engineering
Computer Hardware Engineers	122900	Architecture and Engineering
Electrical Engineers	108650	Architecture and Engineering
Electronics Engineers, Except Computer	101120	Architecture and Engineering
Environmental Engineers	96790	Architecture and Engineering
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	100550	Architecture and Engineering
Industrial Engineers	98600	Architecture and Engineering
Marine Engineers and Naval Architects	141190	Architecture and Engineering
Materials Engineers	102840	Architecture and Engineering
Mechanical Engineers	95090	Architecture and Engineering
Mining and Geological Engineers, Including Mining Safety Engineers	107870	Architecture and Engineering
Nuclear Engineers	115830	Architecture and Engineering
Engineers, All Other	96570	Architecture and Engineering
Architectural and Civil Drafters	63170	Architecture and Engineering
Electrical and Electronics Drafters	76340	Architecture and Engineering
Mechanical Drafters	60210	Architecture and Engineering
Drafters, All Other	66240	Architecture and Engineering
Aerospace Engineering and Operations Technicians	68630	Architecture and Engineering
Civil Engineering Technicians	58910	Architecture and Engineering
Electrical and Electronic Engineering Technicians	69070	Architecture and Engineering
Electro-Mechanical Technicians	65510	Architecture and Engineering
Environmental Engineering Technicians	55680	Architecture and Engineering
Industrial Engineering Technicians	58120	Architecture and Engineering
Mechanical Engineering Technicians	58960	Architecture and Engineering
Surveying and Mapping Technicians	53920	Architecture and Engineering
Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other	63610	Architecture and Engineering
Life, Physical, and Social Science	80400	Life, Physical, and Social Science
Animal Scientists	65450	Life, Physical, and Social Science
Food Scientists and Technologists	77140	Life, Physical, and Social Science
Soil and Plant Scientists	82100	Life, Physical, and Social Science
Biochemists and Biophysicists	84290	Life, Physical, and Social Science
Microbiologists	83290	Life, Physical, and Social Science
Zoologists and Wildlife Biologists	77750	Life, Physical, and Social Science
Biological Scientists, All Other	94310	Life, Physical, and Social Science
Conservation Scientists	73930	Life, Physical, and Social Science
Foresters	68580	Life, Physical, and Social Science
Epidemiologists	112480	Life, Physical, and Social Science
Medical Scientists, Except Epidemiologists	107010	Life, Physical, and Social Science
Life Scientists, All Other	79690	Life, Physical, and Social Science
Physicists	147590	Life, Physical, and Social Science
Atmospheric and Space Scientists	109470	Life, Physical, and Social Science
Chemists	88650	Life, Physical, and Social Science
Materials Scientists	103930	Life, Physical, and Social Science
Environmental Scientists and Specialists, Including Health	85880	Life, Physical, and Social Science
Geoscientists, Except Hydrologists and Geographers	79390	Life, Physical, and Social Science
Hydrologists	80260	Life, Physical, and Social Science
Physical Scientists, All Other	110680	Life, Physical, and Social Science
Economists	148970	Life, Physical, and Social Science
Survey Researchers	81870	Life, Physical, and Social Science
Clinical, Counseling, and School Psychologists	98230	Life, Physical, and Social Science
Psychologists, All Other	99280	Life, Physical, and Social Science
Sociologists	84280	Life, Physical, and Social Science
Urban and Regional Planners	89400	Life, Physical, and Social Science
Anthropologists and Archeologists	74960	Life, Physical, and Social Science
Geographers	80550	Life, Physical, and Social Science
Historians	34550	Life, Physical, and Social Science
Political Scientists	130400	Life, Physical, and Social Science
Social Scientists and Related Workers, All Other	92410	Life, Physical, and Social Science
Agricultural and Food Science Technicians	54630	Life, Physical, and Social Science
Biological Technicians	50930	Life, Physical, and Social Science
Chemical Technicians	53760	Life, Physical, and Social Science
Environmental Science and Protection Technicians, Including Health	53610	Life, Physical, and Social Science
Geological and Hydrologic Technicians	54960	Life, Physical, and Social Science
Nuclear Technicians	103600	Life, Physical, and Social Science
Social Science Research Assistants	53370	Life, Physical, and Social Science
Forest and Conservation Technicians	51670	Life, Physical, and Social Science
Forensic Science Technicians	69450	Life, Physical, and Social Science
Life, Physical, and Social Science Technicians, All Other	56350	Life, Physical, and Social Science
Occupational Health and Safety Specialists	79010	Life, Physical, and Social Science
Occupational Health and Safety Technicians	62980	Life, Physical, and Social Science
Community and Social Service	56240	Community and Social Service
Educational, Guidance, School, and Vocational Counselors	70370	Community and Social Service
Marriage and Family Therapists	50480	Community and Social Service
Rehabilitation Counselors	37760	Community and Social Service
Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)	55450	Community and Social Service
Counselors, All Other	62680	Community and Social Service
Child, Family, and School Social Workers	61680	Community and Social Service
Healthcare Social Workers	62780	Community and Social Service
Mental Health and Substance Abuse Social Workers	64880	Community and Social Service
Social Workers, All Other	69030	Community and Social Service
Health Educators	59720	Community and Social Service
Probation Officers and Correctional Treatment Specialists	72810	Community and Social Service
Social and Human Service Assistants	39680	Community and Social Service
Community Health Workers	46000	Community and Social Service
Community and Social Service Specialists, All Other	58920	Community and Social Service
Clergy	59750	Community and Social Service
Directors, Religious Activities and Education	51780	Community and Social Service
Religious Workers, All Other	39600	Community and Social Service
Legal	139380	Legal
Lawyers	172400	Legal
Judicial Law Clerks	122070	Legal
Administrative Law Judges, Adjudicators, and Hearing Officers	115580	Legal
Arbitrators, Mediators, and Conciliators	86520	Legal
Judges, Magistrate Judges, and Magistrates	188040	Legal
Technical Writers	79870	Arts, Design, Entertainment, Sports, and Media
Paralegals and Legal Assistants	59320	Legal
Title Examiners, Abstractors, and Searchers	65390	Legal
Legal Support Workers, All Other	66350	Legal
Education, Training, and Library	74700	Educational Instruction and Library
Business Teachers, Postsecondary	118460	Educational Instruction and Library
Computer Science Teachers, Postsecondary	114070	Educational Instruction and Library
Mathematical Science Teachers, Postsecondary	113440	Educational Instruction and Library
Architecture Teachers, Postsecondary	136220	Educational Instruction and Library
Engineering Teachers, Postsecondary	131770	Educational Instruction and Library
Agricultural Sciences Teachers, Postsecondary	107290	Educational Instruction and Library
Biological Science Teachers, Postsecondary	110920	Educational Instruction and Library
Forestry and Conservation Science Teachers, Postsecondary	84540	Educational Instruction and Library
Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	118780	Educational Instruction and Library
Chemistry Teachers, Postsecondary	111700	Educational Instruction and Library
Environmental Science Teachers, Postsecondary	99000	Educational Instruction and Library
Physics Teachers, Postsecondary	126580	Educational Instruction and Library
Anthropology and Archeology Teachers, Postsecondary	111450	Educational Instruction and Library
Area, Ethnic, and Cultural Studies Teachers, Postsecondary	106710	Educational Instruction and Library
Economics Teachers, Postsecondary	137900	Educational Instruction and Library
Geography Teachers, Postsecondary	85460	Educational Instruction and Library
Political Science Teachers, Postsecondary	133900	Educational Instruction and Library
Psychology Teachers, Postsecondary	100960	Educational Instruction and Library
Sociology Teachers, Postsecondary	108000	Educational Instruction and Library
Social Sciences Teachers, Postsecondary, All Other	110310	Educational Instruction and Library
Health Specialties Teachers, Postsecondary	133120	Educational Instruction and Library
Nursing Instructors and Teachers, Postsecondary	99840	Educational Instruction and Library
Education Teachers, Postsecondary	94860	Educational Instruction and Library
Library Science Teachers, Postsecondary	90230	Educational Instruction and Library
Criminal Justice and Law Enforcement Teachers, Postsecondary	74310	Educational Instruction and Library
Law Teachers, Postsecondary	139340	Educational Instruction and Library
Social Work Teachers, Postsecondary	98140	Educational Instruction and Library
Art, Drama, and Music Teachers, Postsecondary	107080	Educational Instruction and Library
Communications Teachers, Postsecondary	95970	Educational Instruction and Library
English Language and Literature Teachers, Postsecondary	105160	Educational Instruction and Library
Foreign Language and Literature Teachers, Postsecondary	93060	Educational Instruction and Library
History Teachers, Postsecondary	103260	Educational Instruction and Library
Philosophy and Religion Teachers, Postsecondary	88130	Educational Instruction and Library
Recreation and Fitness Studies Teachers, Postsecondary	80160	Educational Instruction and Library
Vocational Education Teachers, Postsecondary	76520	Educational Instruction and Library
Postsecondary Teachers, All Other	122460	Educational Instruction and Library
Preschool Teachers, Except Special Education	43240	Educational Instruction and Library
Kindergarten Teachers, Except Special Education	79820	Educational Instruction and Library
Elementary School Teachers, Except Special Education	84600	Educational Instruction and Library
Middle School Teachers, Except Special and Career/Technical Education	88920	Educational Instruction and Library
Career/Technical  Education Teachers, Middle School	87540	Educational Instruction and Library
Secondary School Teachers, Except Special and Career/Technical Education	89110	Educational Instruction and Library
Career/Technical Education Teachers, Secondary School	80640	Educational Instruction and Library
Special Education Teachers, Preschool	91860	Educational Instruction and Library
Special Education Teachers, Kindergarten and Elementary School	83420	Educational Instruction and Library
Special Education Teachers, Middle School	89310	Educational Instruction and Library
Special Education Teachers, Secondary School	85690	Educational Instruction and Library
Special Education Teachers, All Other	90050	Educational Instruction and Library
Adult Basic and Secondary Education and Literacy Teachers and Instructors	72920	Educational Instruction and Library
Self-Enrichment Education Teachers	63600	Educational Instruction and Library
Substitute Teachers, Short-Term	42140	Educational Instruction and Library
Teachers and Instructors, All Other, Except Substitute Teachers	64350	Educational Instruction and Library
Archivists	61600	Educational Instruction and Library
Curators	73970	Educational Instruction and Library
Museum Technicians and Conservators	60870	Educational Instruction and Library
Librarians and Media Collections Specialists	71480	Educational Instruction and Library
Library Technicians	36710	Educational Instruction and Library
Farm and Home Management Advisors	48570	Educational Instruction and Library
Instructional Coordinators	76540	Educational Instruction and Library
Teaching Assistants, Postsecondary	46000	Educational Instruction and Library
Teaching Assistants, Except Postsecondary	34440	Educational Instruction and Library
Education, Training, and Library Workers, All Other	53110	Educational Instruction and Library
Arts, Design, Entertainment, Sports, and Media	85180	Arts, Design, Entertainment, Sports, and Media
Art Directors	137730	Arts, Design, Entertainment, Sports, and Media
Craft Artists	51840	Arts, Design, Entertainment, Sports, and Media
Fine Artists, Including Painters, Sculptors, and Illustrators	99450	Arts, Design, Entertainment, Sports, and Media
Multimedia Artists and Animators	97320	Arts, Design, Entertainment, Sports, and Media
Artists and Related Workers, All Other	97670	Arts, Design, Entertainment, Sports, and Media
Commercial and Industrial Designers	86890	Arts, Design, Entertainment, Sports, and Media
Fashion Designers	94850	Arts, Design, Entertainment, Sports, and Media
Floral Designers	34140	Arts, Design, Entertainment, Sports, and Media
Graphic Designers	68310	Arts, Design, Entertainment, Sports, and Media
Interior Designers	70420	Arts, Design, Entertainment, Sports, and Media
Merchandise Displayers and Window Trimmers	38910	Arts, Design, Entertainment, Sports, and Media
Set and Exhibit Designers	87590	Arts, Design, Entertainment, Sports, and Media
Designers, All Other	75210	Arts, Design, Entertainment, Sports, and Media
Producers and Directors	120620	Arts, Design, Entertainment, Sports, and Media
Athletes and Sports Competitors	93920	Arts, Design, Entertainment, Sports, and Media
Coaches and Scouts	57250	Arts, Design, Entertainment, Sports, and Media
Umpires, Referees, and Other Sports Officials	137140	Arts, Design, Entertainment, Sports, and Media
Choreographers	93980	Arts, Design, Entertainment, Sports, and Media
Music Directors and Composers	78820	Arts, Design, Entertainment, Sports, and Media
Radio and Television Announcers	81250	Arts, Design, Entertainment, Sports, and Media
News Analysts, Reporters, and Journalist	92090	Arts, Design, Entertainment, Sports, and Media
Public Relations Specialists	79910	Arts, Design, Entertainment, Sports, and Media
Editors	89010	Arts, Design, Entertainment, Sports, and Media
Writers and Authors	93230	Arts, Design, Entertainment, Sports, and Media
Interpreters and Translators	74130	Arts, Design, Entertainment, Sports, and Media
Court Reporters and Simultaneous Captioners	92440	Arts, Design, Entertainment, Sports, and Media
Media and Communication Workers, All Other	58880	Arts, Design, Entertainment, Sports, and Media
Audio and Video Equipment Technicians	59570	Arts, Design, Entertainment, Sports, and Media
Broadcast Technicians	59060	Arts, Design, Entertainment, Sports, and Media
Sound Engineering Technicians	81110	Arts, Design, Entertainment, Sports, and Media
Photographers	66460	Arts, Design, Entertainment, Sports, and Media
Camera Operators, Television, Video, and Motion Picture	101920	Arts, Design, Entertainment, Sports, and Media
Film and Video Editors	92230	Arts, Design, Entertainment, Sports, and Media
Lighting Technicians and Media and Communication Equipment Workers, All Other	75100	Arts, Design, Entertainment, Sports, and Media
Healthcare Practitioners and Technical	95110	Healthcare Practitioners and Technical
Chiropractors	84540	Healthcare Practitioners and Technical
Dentists, General	170670	Healthcare Practitioners and Technical
Oral and Maxillofacial Surgeons	235670	Healthcare Practitioners and Technical
Orthodontists	198770	Healthcare Practitioners and Technical
Dentists, All Other Specialists	191910	Healthcare Practitioners and Technical
Dietitians and Nutritionists	70060	Healthcare Practitioners and Technical
Optometrists	139460	Healthcare Practitioners and Technical
Pharmacists	124080	Healthcare Practitioners and Technical
Physician Assistants	125720	Healthcare Practitioners and Technical
Podiatrists	160780	Healthcare Practitioners and Technical
Occupational Therapists	91850	Healthcare Practitioners and Technical
Physical Therapists	92820	Healthcare Practitioners and Technical
Radiation Therapists	117620	Healthcare Practitioners and Technical
Recreational Therapists	57420	Healthcare Practitioners and Technical
Respiratory Therapists	78640	Healthcare Practitioners and Technical
Speech-Language Pathologists	98840	Healthcare Practitioners and Technical
Exercise Physiologists	69870	Healthcare Practitioners and Technical
Therapists, All Other	65060	Healthcare Practitioners and Technical
Veterinarians	123160	Healthcare Practitioners and Technical
Registered Nurses	89720	Healthcare Practitioners and Technical
Nurse Anesthetists	204650	Healthcare Practitioners and Technical
Nurse Midwives	122970	Healthcare Practitioners and Technical
Nurse Practitioners	125170	Healthcare Practitioners and Technical
Audiologists	87330	Healthcare Practitioners and Technical
Anesthesiologists	217300	Healthcare Practitioners and Technical
Family Medicine Physicians	198230	Healthcare Practitioners and Technical
General Internal Medicine Physicians	192410	Healthcare Practitioners and Technical
Obstetricians and Gynecologists	221410	Healthcare Practitioners and Technical
Pediatricians, General	172420	Healthcare Practitioners and Technical
Psychiatrists	220920	Healthcare Practitioners and Technical
Physicians, All Other; and Ophthalmologists, Except Pediatric	182950	Healthcare Practitioners and Technical
Surgeons, Except Ophthalmologists	235840	Healthcare Practitioners and Technical
Dental Hygienists	78610	Healthcare Practitioners and Technical
Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other	80970	Healthcare Practitioners and Technical
Clinical Laboratory Technologists and Technicians	66960	Healthcare Practitioners and Technical
Cardiovascular Technologists and Technicians	66060	Healthcare Practitioners and Technical
Diagnostic Medical Sonographers	78710	Healthcare Practitioners and Technical
Nuclear Medicine Technologists	88610	Healthcare Practitioners and Technical
Radiologic Technologists	72140	Healthcare Practitioners and Technical
Magnetic Resonance Imaging Technologists	86090	Healthcare Practitioners and Technical
Emergency Medical Technicians and Paramedics	45880	Healthcare Practitioners and Technical
Dietetic Technicians	42010	Healthcare Practitioners and Technical
Pharmacy Technicians	36560	Healthcare Practitioners and Technical
Psychiatric Technicians	41200	Healthcare Practitioners and Technical
Surgical Technologists	58660	Healthcare Practitioners and Technical
Veterinary Technologists and Technicians	44630	Healthcare Practitioners and Technical
Ophthalmic Medical Technicians	37970	Healthcare Practitioners and Technical
Licensed Practical and Licensed Vocational Nurses	50930	Healthcare Practitioners and Technical
Opticians, Dispensing	55840	Healthcare Practitioners and Technical
Orthotists and Prosthetists	72650	Healthcare Practitioners and Technical
Hearing Aid Specialists	55450	Healthcare Practitioners and Technical
Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other	53660	Healthcare Practitioners and Technical
Athletic Trainers	54970	Healthcare Practitioners and Technical
Genetic Counselors	94930	Healthcare Practitioners and Technical
Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other	70710	Healthcare Practitioners and Technical
Healthcare Support	33520	Healthcare Support
Home Health & Personal Care Aides	30170	Healthcare Support
Nursing Assistants	39970	Healthcare Support
Orderlies	38700	Healthcare Support
Psychiatric Aides	44720	Healthcare Support
Occupational Therapy Assistants	65180	Healthcare Support
Occupational Therapy Aides	49700	Healthcare Support
Physical Therapist Assistants	56620	Healthcare Support
Physical Therapist Aides	33170	Healthcare Support
Massage Therapists	54280	Healthcare Support
Dental Assistants	41910	Healthcare Support
Medical Assistants	39750	Healthcare Support
Medical Equipment Preparers	46560	Healthcare Support
Medical Transcriptionists	35960	Healthcare Support
Pharmacy Aides	32110	Healthcare Support
Veterinary Assistants and Laboratory Animal Caretakers	34220	Healthcare Support
Phlebotomists	44240	Healthcare Support
Healthcare Support Workers, All Other	41240	Healthcare Support
Protective Service	58900	Protective Service
First-Line Supervisors of Correctional Officers	96240	Protective Service
First-Line Supervisors of Police and Detectives	122760	Protective Service
First-Line Supervisors of Fire Fighting and Prevention Workers	113810	Protective Service
Miscellaneous First-Line Supervisors, Protective Service Workers	61910	Protective Service
Firefighters	77410	Protective Service
Forest Fire Inspectors and Prevention Specialists	51080	Protective Service
Bailiffs	71750	Protective Service
Correctional Officers and Jailers	67990	Protective Service
Detectives and Criminal Investigators	95380	Protective Service
Fish and Game Wardens	70860	Protective Service
Parking Enforcement Workers	46130	Protective Service
Police and Sheriff's Patrol Officers	79810	Protective Service
Transit and Railroad Police	72190	Protective Service
Animal Control Workers	41250	Protective Service
Private Detectives and Investigators	60870	Protective Service
Gaming Surveillance Officers and Gaming Investigators	38480	Protective Service
Security Guards	38640	Protective Service
Crossing Guards	39820	Protective Service
Lifeguards, Ski Patrol, and Other Recreational Protective Service	31060	Protective Service
Transportation Security Screeners	43430	Protective Service
School Bus Monitors and Protective Service Workers, All Other	32280	Protective Service
Food Preparation and Serving Related	34290	Food Preparation and Serving Related
Chefs and Head Cooks	61170	Food Preparation and Serving Related
First-Line Supervisors of Food Preparation and Serving Workers	43530	Food Preparation and Serving Related
Cooks, Fast Food	28690	Food Preparation and Serving Related
Cooks, Institution and Cafeteria	37050	Food Preparation and Serving Related
Cooks, Private Household	50820	Food Preparation and Serving Related
Cooks, Restaurant	33420	Food Preparation and Serving Related
Cooks, Short Order	30130	Food Preparation and Serving Related
Cooks, All Other	35590	Food Preparation and Serving Related
Food Preparation Workers	31380	Food Preparation and Serving Related
Bartenders	38910	Food Preparation and Serving Related
Fast Food and Counter Workers	28530	Food Preparation and Serving Related
Waiters and Waitresses	38270	Food Preparation and Serving Related
Food Servers, Nonrestaurant	34960	Food Preparation and Serving Related
Dining Room and Cafeteria Attendants and Bartender Helpers	33380	Food Preparation and Serving Related
Dishwashers	29360	Food Preparation and Serving Related
Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	30880	Food Preparation and Serving Related
Food Preparation and Serving Related Workers, All Other	32390	Food Preparation and Serving Related
Building and Grounds Cleaning and Maintenance	38980	Building and Grounds Cleaning and Maintenance
First-Line Supervisors of Housekeeping and Janitorial Workers	57090	Building and Grounds Cleaning and Maintenance
First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	64240	Building and Grounds Cleaning and Maintenance
Janitors and Cleaners, Except Maids and Housekeeping Cleaners	37500	Building and Grounds Cleaning and Maintenance
Maids and Housekeeping Cleaners	38680	Building and Grounds Cleaning and Maintenance
Building Cleaning Workers, All Other	46300	Building and Grounds Cleaning and Maintenance
Pest Control Workers	43520	Building and Grounds Cleaning and Maintenance
Landscaping and Groundskeeping Workers	37190	Building and Grounds Cleaning and Maintenance
Pesticide Handlers, Sprayers, and Applicators, Vegetation	47500	Building and Grounds Cleaning and Maintenance
Tree Trimmers and Pruners	51980	Building and Grounds Cleaning and Maintenance
Grounds Maintenance Workers, All Other	31220	Building and Grounds Cleaning and Maintenance
Personal Care and Service	37660	Personal Care and Service
First-line Supervisors of Gambling Services Workers	58270	Personal Care and Service
First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services	50460	Personal Care and Service
Animal Trainers	43410	Personal Care and Service
Nonfarm Animal Caretakers	31850	Personal Care and Service
Gaming Dealers	32590	Personal Care and Service
Gaming and Sports Book Writers and Runners	31080	Personal Care and Service
Gaming Service Workers, All Other	32600	Personal Care and Service
Motion Picture Projectionists	42800	Personal Care and Service
Ushers, Lobby Attendants, and Ticket Takers	33350	Personal Care and Service
Amusement and Recreation Attendants	28990	Personal Care and Service
Costume Attendants	78240	Personal Care and Service
Locker Room, Coatroom, and Dressing Room Attendants	34160	Personal Care and Service
Entertainment Attendants and Related Workers, All Other	33320	Personal Care and Service
Funeral Attendants	34720	Personal Care and Service
Morticians, Undertakers, and Funeral Directors	66530	Personal Care and Service
Barbers	34590	Personal Care and Service
Hairdressers, Hairstylists, and Cosmetologists	35110	Personal Care and Service
Makeup Artists, Theatrical and Performance	108450	Personal Care and Service
Manicurists and Pedicurists	27430	Personal Care and Service
Shampooers	26190	Personal Care and Service
Skincare Specialists	42910	Personal Care and Service
Baggage Porters and Bellhops	37490	Personal Care and Service
Concierges	48370	Personal Care and Service
Tour and Travel Guides	37940	Personal Care and Service
Childcare Workers	30780	Personal Care and Service
Fitness Trainers and Aerobics Instructors	60440	Personal Care and Service
Recreation Workers	35500	Personal Care and Service
Residential Advisors	38370	Personal Care and Service
Crematory Operators and Personal Care and Service Workers, All Other	37930	Personal Care and Service
Sales and Related	57850	Sales and Related
First-Line Supervisors of Retail Sales Workers	53920	Sales and Related
First-Line Supervisors of Non-Retail Sales Workers	110220	Sales and Related
Cashiers	28960	Sales and Related
Gaming Change Persons and Booth Cashiers	42550	Sales and Related
Counter and Rental Clerks	35020	Sales and Related
Parts Salespersons	41270	Sales and Related
Retail Salespersons	33640	Sales and Related
Advertising Sales Agents	88470	Sales and Related
Insurance Sales Agents	86810	Sales and Related
Securities, Commodities, and Financial Services Sales Agents	160150	Sales and Related
Travel Agents	46610	Sales and Related
Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel	82690	Sales and Related
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	118820	Sales and Related
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	76880	Sales and Related
Demonstrators and Product Promoters	40500	Sales and Related
Models	49190	Sales and Related
Real Estate Brokers	104060	Sales and Related
Real Estate Sales Agents	116420	Sales and Related
Sales Engineers	116580	Sales and Related
Telemarketers	36960	Sales and Related
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	50080	Sales and Related
Sales and Related Workers, All Other	40110	Sales and Related
Office and Administrative Support	48080	Office and Administrative Support
First-Line Supervisors of Office and Administrative Support Workers	73980	Office and Administrative Support
Switchboard Operators, Including Answering Service	40640	Office and Administrative Support
Telephone Operators	46570	Office and Administrative Support
Communications Equipment Operators, All Other	50130	Office and Administrative Support
Bill and Account Collectors	44000	Office and Administrative Support
Billing and Posting Clerks	46610	Office and Administrative Support
Bookkeeping, Accounting, and Auditing Clerks	48370	Office and Administrative Support
Gaming Cage Workers	33610	Office and Administrative Support
Payroll and Timekeeping Clerks	50900	Office and Administrative Support
Procurement Clerks	46080	Office and Administrative Support
Tellers	34370	Office and Administrative Support
Financial Clerks, All Other	57050	Office and Administrative Support
Brokerage Clerks	72610	Office and Administrative Support
Correspondence Clerks	41470	Office and Administrative Support
Court, Municipal, and License Clerks	60110	Office and Administrative Support
Credit Authorizers, Checkers, and Clerks	50320	Office and Administrative Support
Customer Service Representatives	43550	Office and Administrative Support
Eligibility Interviewers, Government Programs	51650	Office and Administrative Support
File Clerks	36140	Office and Administrative Support
Hotel, Motel, and Resort Desk Clerks	35550	Office and Administrative Support
Interviewers, Except Eligibility and Loan	42170	Office and Administrative Support
Library Assistants, Clerical	35670	Office and Administrative Support
Loan Interviewers and Clerks	47230	Office and Administrative Support
New Accounts Clerks	40730	Office and Administrative Support
Order Clerks	37090	Office and Administrative Support
Human Resources Assistants, Except Payroll and Timekeeping	48590	Office and Administrative Support
Receptionists and Information Clerks	36740	Office and Administrative Support
Reservation and Transportation Ticket Agents and Travel Clerks	44710	Office and Administrative Support
Information and Record Clerks, All Other	47860	Office and Administrative Support
Cargo and Freight Agents	52100	Office and Administrative Support
Couriers and Messengers	35950	Office and Administrative Support
Police, Fire, and Ambulance Dispatchers	49880	Office and Administrative Support
Dispatchers, Except Police, Fire, and Ambulance	53710	Office and Administrative Support
Meter Readers, Utilities	62670	Office and Administrative Support
Postal Service Clerks	52140	Office and Administrative Support
Postal Service Mail Carriers	53950	Office and Administrative Support
Postal Service Mail Sorters, Processors, and Processing Machine Operators	52800	Office and Administrative Support
