year	state	state_po	state_fips	state_cen	state_ic	office	candidate	party	main parties	writein	candidatevotes	totalvotes	version
2008	Arizona	AZ	4	86	61	US President	Obama, Barack H.	democrat	democrat	FALSE	1034707	2293475	20171015
2012	Arizona	AZ	4	86	61	US President	Obama, Barack H.	democrat	democrat	FALSE	1025232	2299254	20171015
2016	Arizona	AZ	4	86	61	US President	Clinton, Hillary	democrat	democrat	FALSE	1161167	2573165	20171015
2016	Arizona	AZ	4	86	61	US President		democrat	democrat	TRUE	42	2573165	20171015
1976	Arizona	AZ	4	86	61	US President	Ford, Gerald	republican	republican	FALSE	418642	742719	20171015
1980	Arizona	AZ	4	86	61	US President	Reagan, Ronald	republican	republican	FALSE	529688	873945	20171015
1984	Arizona	AZ	4	86	61	US President	Reagan, Ronald	republican	republican	FALSE	681416	1025897	20171015
1988	Arizona	AZ	4	86	61	US President	Bush, George H.W.	republican	republican	FALSE	702541	1171873	20171015
1992	Arizona	AZ	4	86	61	US President	Bush, George H.W.	republican	republican	FALSE	572086	1486975	20171015
1996	Arizona	AZ	4	86	61	US President	Dole, Robert	republican	republican	FALSE	622073	1404405	20171015
2000	Arizona	AZ	4	86	61	US President	Bush, George W.	republican	republican	FALSE	781652	1532016	20171015
2004	Arizona	AZ	4	86	61	US President	Bush, George W.	republican	republican	FALSE	1104294	2012585	20171015
2008	Arizona	AZ	4	86	61	US President	McCain, John	republican	republican	FALSE	1230111	2293475	20171015
2012	Arizona	AZ	4	86	61	US President	Romney, Mitt	republican	republican	FALSE	1233654	2299254	20171015
2016	Arizona	AZ	4	86	61	US President	Trump, Donald J.	republican	republican	FALSE	1252401	2573165	20171015
1976	Arizona	AZ	4	86	61	US President	McCarthy, Eugene \\"Gene\"\""	independent	other	FALSE	19229	742719	20171015
1976	Arizona	AZ	4	86	61	US President	Macbride, Roger	libertarian	other	FALSE	7647	742719	20171015
1976	Arizona	AZ	4	86	61	US President	Camejo, Peter	socialist workers	other	FALSE	928	742719	20171015
1976	Arizona	AZ	4	86	61	US President	Anderson, Thomas J.	american	other	FALSE	564	742719	20171015
1976	Arizona	AZ	4	86	61	US President	Maddox, Lester	american independent party	other	FALSE	85	742719	20171015
1976	Arizona	AZ	4	86	61	US President			other	TRUE	22	742719	20171015
1980	Arizona	AZ	4	86	61	US President	Anderson, John B.	independent	other	FALSE	76952	873945	20171015
1980	Arizona	AZ	4	86	61	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	18784	873945	20171015
1980	Arizona	AZ	4	86	61	US President	Deberry, Clifton	socialist workers	other	FALSE	1100	873945	20171015
1980	Arizona	AZ	4	86	61	US President	Commoner, Barry	citizens	other	FALSE	551	873945	20171015
1980	Arizona	AZ	4	86	61	US President	Hall, Gus	communist party use	other	FALSE	25	873945	20171015
1980	Arizona	AZ	4	86	61	US President	Griswold, Deirdre	workers world	other	FALSE	2	873945	20171015
1984	Arizona	AZ	4	86	61	US President	Bergland, David	libertarian	other	FALSE	10585	1025897	20171015
1984	Arizona	AZ	4	86	61	US President	Other		other	FALSE	42	1025897	20171015
1988	Arizona	AZ	4	86	61	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	13351	1171873	20171015
1988	Arizona	AZ	4	86	61	US President	Fulani, Lenora	new alliance	other	FALSE	1662	1171873	20171015
1988	Arizona	AZ	4	86	61	US President			other	TRUE	290	1171873	20171015
1992	Arizona	AZ	4	86	61	US President	Perot, Ross	independent	other	FALSE	353741	1486975	20171015
1992	Arizona	AZ	4	86	61	US President	Gritz, James \\"Bo\"\""	independent	other	FALSE	8141	1486975	20171015
1992	Arizona	AZ	4	86	61	US President	Marrou, Andre	libertarian	other	FALSE	6759	1486975	20171015
1992	Arizona	AZ	4	86	61	US President	Hagelin, John	natural law	other	FALSE	2267	1486975	20171015
1992	Arizona	AZ	4	86	61	US President	Fulani, Lenora	new alliance	other	FALSE	923	1486975	20171015
1992	Arizona	AZ	4	86	61	US President			other	TRUE	8	1486975	20171015
1996	Arizona	AZ	4	86	61	US President	Perot, Ross	reform party	other	FALSE	112072	1404405	20171015
1996	Arizona	AZ	4	86	61	US President	Browne, Harry	libertarian	other	FALSE	14358	1404405	20171015
1996	Arizona	AZ	4	86	61	US President			other	TRUE	2573	1404405	20171015
1996	Arizona	AZ	4	86	61	US President	Other		other	FALSE	41	1404405	20171015
2000	Arizona	AZ	4	86	61	US President	Nader, Ralph	green	other	FALSE	45645	1532016	20171015
2000	Arizona	AZ	4	86	61	US President	Buchanan, Patrick \\"Pat\"\""	reform party	other	FALSE	12373	1532016	20171015
2000	Arizona	AZ	4	86	61	US President	L. Neil, Smith	libertarian	other	FALSE	5775	1532016	20171015
2000	Arizona	AZ	4	86	61	US President	Hagelin, John	natural law	other	FALSE	1120	1532016	20171015
2000	Arizona	AZ	4	86	61	US President			other	TRUE	110	1532016	20171015
2004	Arizona	AZ	4	86	61	US President	Badnarik, Michael	libertarian	other	FALSE	11856	2012585	20171015
2004	Arizona	AZ	4	86	61	US President	Other		other	TRUE	2911	2012585	20171015
2008	Arizona	AZ	4	86	61	US President	Barr, Bob	libertarian	other	FALSE	12555	2293475	20171015
2008	Arizona	AZ	4	86	61	US President	Nader, Ralph	independent	other	FALSE	11301	2293475	20171015
2008	Arizona	AZ	4	86	61	US President	McKinney, Cynthia	green	other	FALSE	3406	2293475	20171015
2008	Arizona	AZ	4	86	61	US President			other	TRUE	1395	2293475	20171015
2012	Arizona	AZ	4	86	61	US President	Johnson, Gary	libertarian	other	FALSE	32100	2299254	20171015
2012	Arizona	AZ	4	86	61	US President	Stein, Jill	green	other	FALSE	7816	2299254	20171015
2012	Arizona	AZ	4	86	61	US President			other	TRUE	452	2299254	20171015
2016	Arizona	AZ	4	86	61	US President	Johnson, Gary	libertarian	other	FALSE	106327	2573165	20171015
2016	Arizona	AZ	4	86	61	US President	Stein, Jill	green	other	FALSE	34345	2573165	20171015
2016	Arizona	AZ	4	86	61	US President		independent	other	TRUE	17473	2573165	20171015
2016	Arizona	AZ	4	86	61	US President	Castle, Darrell L.	constitution party	other	TRUE	1058	2573165	20171015
2016	Arizona	AZ	4	86	61	US President		no party affiliation	other	TRUE	311	2573165	20171015
2016	Arizona	AZ	4	86	61	US President	De La Fuente, Roque \\"Rocky\"\""	american delta party	other	TRUE	29	2573165	20171015
2016	Arizona	AZ	4	86	61	US President	Tittle, Sheila \\"Samm\"\""	we the people	other	TRUE	12	2573165	20171015
1976	Arkansas	AR	5	71	42	US President	Carter, Jimmy	democrat	democrat	FALSE	498604	767535	20171015
1980	Arkansas	AR	5	71	42	US President	Carter, Jimmy	democrat	democrat	FALSE	398041	837582	20171015
1984	Arkansas	AR	5	71	42	US President	Mondale, Walter	democrat	democrat	FALSE	338646	884406	20171015
1988	Arkansas	AR	5	71	42	US President	Dukakis, Michael	democrat	democrat	FALSE	349237	827738	20171015
1992	Arkansas	AR	5	71	42	US President	Clinton, Bill	democrat	democrat	FALSE	505823	950653	20171015
1996	Arkansas	AR	5	71	42	US President	Clinton, Bill	democrat	democrat	FALSE	475171	884262	20171015
2000	Arkansas	AR	5	71	42	US President	Gore, Al	democrat	democrat	FALSE	422768	921781	20171015
2004	Arkansas	AR	5	71	42	US President	Kerry, John	democrat	democrat	FALSE	469953	1054945	20171015
2008	Arkansas	AR	5	71	42	US President	Obama, Barack H.	democrat	democrat	FALSE	422310	1086617	20171015
2012	Arkansas	AR	5	71	42	US President	Obama, Barack H.	democrat	democrat	FALSE	394409	1069468	20171015
2016	Arkansas	AR	5	71	42	US President	Clinton, Hillary	democrat	democrat	FALSE	380494	1130635	20171015
1976	Arkansas	AR	5	71	42	US President	Ford, Gerald	republican	republican	FALSE	267903	767535	20171015
1980	Arkansas	AR	5	71	42	US President	Reagan, Ronald	republican	republican	FALSE	403164	837582	20171015
1984	Arkansas	AR	5	71	42	US President	Reagan, Ronald	republican	republican	FALSE	534774	884406	20171015
1988	Arkansas	AR	5	71	42	US President	Bush, George H.W.	republican	republican	FALSE	466578	827738	20171015
1992	Arkansas	AR	5	71	42	US President	Bush, George H.W.	republican	republican	FALSE	337324	950653	20171015
1996	Arkansas	AR	5	71	42	US President	Dole, Robert	republican	republican	FALSE	325416	884262	20171015
2000	Arkansas	AR	5	71	42	US President	Bush, George W.	republican	republican	FALSE	472940	921781	20171015
2004	Arkansas	AR	5	71	42	US President	Bush, George W.	republican	republican	FALSE	572898	1054945	20171015
2008	Arkansas	AR	5	71	42	US President	McCain, John	republican	republican	FALSE	638017	1086617	20171015
2012	Arkansas	AR	5	71	42	US President	Romney, Mitt	republican	republican	FALSE	647744	1069468	20171015
2016	Arkansas	AR	5	71	42	US President	Trump, Donald J.	republican	republican	FALSE	684872	1130635	20171015
1976	Arkansas	AR	5	71	42	US President		independent	other	FALSE	639	767535	20171015
1976	Arkansas	AR	5	71	42	US President	Maddox, Lester	american independent party	other	FALSE	389	767535	20171015
1980	Arkansas	AR	5	71	42	US President	Anderson, John B.	independent	other	FALSE	22468	837582	20171015
1980	Arkansas	AR	5	71	42	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	8970	837582	20171015
1980	Arkansas	AR	5	71	42	US President	Commoner, Barry	citizens	other	FALSE	2345	837582	20171015
1980	Arkansas	AR	5	71	42	US President	Bubar, Benjamin \\"Ben\"\""	statesman	other	FALSE	1350	837582	20171015
1980	Arkansas	AR	5	71	42	US President	Hall, Gus	communist party use	other	FALSE	1244	837582	20171015
1984	Arkansas	AR	5	71	42	US President	Bergland, David	libertarian	other	FALSE	2221	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Larouche, Lyndon, Jr.	independent	other	FALSE	1890	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Hall, Gus	communist party use	other	FALSE	1499	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Richards, Bob	populist	other	FALSE	1461	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Serrette, Dennis	alliance	other	FALSE	1291	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Johnson, Sonia	citizens	other	FALSE	960	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Dodge, Earl	prohibition	other	FALSE	842	884406	20171015
1984	Arkansas	AR	5	71	42	US President	Lowery, Arthur	united sovereign citizens	other	FALSE	822	884406	20171015
1988	Arkansas	AR	5	71	42	US President	Dodge, Earl	populist	other	FALSE	5146	827738	20171015
1988	Arkansas	AR	5	71	42	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	3297	827738	20171015
1988	Arkansas	AR	5	71	42	US President	Fulani, Lenora	new alliance	other	FALSE	2161	827738	20171015
1988	Arkansas	AR	5	71	42	US President	Dodge, Earl	prohibition	other	FALSE	1319	827738	20171015
1992	Arkansas	AR	5	71	42	US President	Perot, Ross	independent	other	FALSE	99132	950653	20171015
1992	Arkansas	AR	5	71	42	US President	Other	independent	other	FALSE	8374	950653	20171015
1996	Arkansas	AR	5	71	42	US President	Perot, Ross	reform party	other	FALSE	69884	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Nader, Ralph	green	other	FALSE	3649	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Browne, Harry	libertarian	other	FALSE	3076	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Phillips, Howard	u.s. taxpayers party	other	FALSE	2065	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Forbes, Ralph	america first	other	FALSE	932	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Collins, Charles	unaffiliated	other	FALSE	823	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Masters, Isabell	looking back party	other	FALSE	749	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Moorehead, Monica	workers world	other	FALSE	747	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Hagelin, John	natural law	other	FALSE	729	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Hollis, Mary Cal	socialist	other	FALSE	538	884262	20171015
1996	Arkansas	AR	5	71	42	US President	Dodge, Earl	prohibition	other	FALSE	483	884262	20171015
2000	Arkansas	AR	5	71	42	US President	Nader, Ralph	green	other	FALSE	13421	921781	20171015
2000	Arkansas	AR	5	71	42	US President	Buchanan, Patrick \\"Pat\"\""	reform party	other	FALSE	7358	921781	20171015
2000	Arkansas	AR	5	71	42	US President	Browne, Harry	libertarian	other	FALSE	2781	921781	20171015
2000	Arkansas	AR	5	71	42	US President	Phillips, Howard	constitution party	other	FALSE	1415	921781	20171015
2000	Arkansas	AR	5	71	42	US President	Hagelin, John	natural law	other	FALSE	1098	921781	20171015
2004	Arkansas	AR	5	71	42	US President	Nader, Ralph	populist	other	FALSE	6171	1054945	20171015
2004	Arkansas	AR	5	71	42	US President	Badnarik, Michael	libertarian	other	FALSE	2352	1054945	20171015
2004	Arkansas	AR	5	71	42	US President	Peroutka, Michael	constitution party	other	FALSE	2083	1054945	20171015
2004	Arkansas	AR	5	71	42	US President	Cobb, David	green	other	FALSE	1488	1054945	20171015
2008	Arkansas	AR	5	71	42	US President	Nader, Ralph	independent	other	FALSE	12882	1086617	20171015
2008	Arkansas	AR	5	71	42	US President	Barr, Bob	libertarian	other	FALSE	4776	1086617	20171015
2008	Arkansas	AR	5	71	42	US President	Baldwin, Charles \\"Chuck\"\""	constitution party	other	FALSE	4023	1086617	20171015
2008	Arkansas	AR	5	71	42	US President	McKinney, Cynthia	green	other	FALSE	3470	1086617	20171015
2008	Arkansas	AR	5	71	42	US President	La Riva, Gloria Estella	socialism and liberation party	other	FALSE	1139	1086617	20171015
2012	Arkansas	AR	5	71	42	US President	Johnson, Gary	libertarian	other	FALSE	16276	1069468	20171015
2012	Arkansas	AR	5	71	42	US President	Stein, Jill	green	other	FALSE	9305	1069468	20171015
